id,chemical,date,location,misurations
39,"1,2,4-Trichlorobenzene",2008-02,Kohsoom,1
40,"1,2,4-Trichlorobenzene",2008-03,Boonsri,3
41,"1,2,4-Trichlorobenzene",2008-03,Kohsoom,1
42,"1,2,4-Trichlorobenzene",2008-05,Kohsoom,1
43,"1,2,4-Trichlorobenzene",2008-06,Boonsri,3
44,"1,2,4-Trichlorobenzene",2008-06,Kohsoom,1
45,"1,2,4-Trichlorobenzene",2008-07,Boonsri,6
46,"1,2,4-Trichlorobenzene",2008-07,Kohsoom,1
47,"1,2,4-Trichlorobenzene",2008-08,Boonsri,3
48,"1,2,4-Trichlorobenzene",2008-09,Boonsri,1
49,"1,2,4-Trichlorobenzene",2008-09,Kohsoom,1
50,"1,2,4-Trichlorobenzene",2008-10,Boonsri,3
51,"1,2,4-Trichlorobenzene",2008-10,Kohsoom,1
52,"1,2,4-Trichlorobenzene",2008-11,Boonsri,3
53,"1,2,4-Trichlorobenzene",2008-11,Kohsoom,1
54,"1,2,4-Trichlorobenzene",2009-01,Boonsri,1
55,"1,2,4-Trichlorobenzene",2009-02,Boonsri,3
56,"1,2,4-Trichlorobenzene",2009-03,Boonsri,3
57,"1,2,4-Trichlorobenzene",2009-03,Kohsoom,1
58,"1,2,4-Trichlorobenzene",2009-04,Boonsri,3
59,"1,2,4-Trichlorobenzene",2009-05,Boonsri,3
60,"1,2,4-Trichlorobenzene",2009-05,Kohsoom,1
61,"1,2,4-Trichlorobenzene",2009-06,Boonsri,3
62,"1,2,4-Trichlorobenzene",2009-06,Kohsoom,1
63,"1,2,4-Trichlorobenzene",2009-07,Boonsri,3
64,"1,2,4-Trichlorobenzene",2009-07,Kohsoom,1
65,"1,2,4-Trichlorobenzene",2009-08,Boonsri,3
66,"1,2,4-Trichlorobenzene",2009-08,Kohsoom,1
67,"1,2,4-Trichlorobenzene",2009-09,Boonsri,3
68,"1,2,4-Trichlorobenzene",2009-09,Kohsoom,1
69,"1,2,4-Trichlorobenzene",2009-10,Boonsri,3
70,"1,2,4-Trichlorobenzene",2009-10,Kohsoom,1
71,"1,2,4-Trichlorobenzene",2009-11,Boonsri,3
72,"1,2,4-Trichlorobenzene",2009-11,Kohsoom,1
73,"1,2,4-Trichlorobenzene",2009-12,Boonsri,3
74,AGOC-3A,2014-01,Chai,6
75,AGOC-3A,2014-01,Kannika,3
76,AGOC-3A,2014-01,Kohsoom,1
77,AGOC-3A,2014-01,Sakda,3
78,AGOC-3A,2014-02,Boonsri,3
79,AGOC-3A,2014-02,Busarakhan,1
80,AGOC-3A,2014-02,Chai,6
81,AGOC-3A,2014-02,Kohsoom,1
82,AGOC-3A,2014-02,Somchair,1
83,AGOC-3A,2014-03,Boonsri,3
84,AGOC-3A,2014-03,Chai,6
85,AGOC-3A,2014-03,Kannika,3
86,AGOC-3A,2014-03,Kohsoom,1
87,AGOC-3A,2014-03,Sakda,3
88,AGOC-3A,2014-04,Chai,3
89,AGOC-3A,2014-04,Kannika,3
90,AGOC-3A,2014-04,Sakda,3
91,AGOC-3A,2014-05,Boonsri,3
92,AGOC-3A,2014-05,Busarakhan,2
93,AGOC-3A,2014-05,Chai,3
94,AGOC-3A,2014-05,Kannika,3
95,AGOC-3A,2014-05,Kohsoom,1
96,AGOC-3A,2014-05,Sakda,3
97,AGOC-3A,2014-05,Somchair,2
98,AGOC-3A,2014-06,Boonsri,3
99,AGOC-3A,2014-06,Busarakhan,1
100,AGOC-3A,2014-06,Chai,3
101,AGOC-3A,2014-06,Kannika,2
102,AGOC-3A,2014-06,Sakda,3
103,AGOC-3A,2014-06,Somchair,1
104,AGOC-3A,2014-07,Boonsri,3
105,AGOC-3A,2014-07,Busarakhan,1
106,AGOC-3A,2014-07,Chai,3
107,AGOC-3A,2014-07,Kannika,3
108,AGOC-3A,2014-07,Kohsoom,1
109,AGOC-3A,2014-07,Sakda,3
110,AGOC-3A,2014-07,Somchair,1
111,AGOC-3A,2014-08,Boonsri,3
112,AGOC-3A,2014-08,Busarakhan,1
113,AGOC-3A,2014-08,Chai,3
114,AGOC-3A,2014-08,Kannika,3
115,AGOC-3A,2014-08,Kohsoom,1
116,AGOC-3A,2014-08,Sakda,3
117,AGOC-3A,2014-08,Somchair,1
118,AGOC-3A,2014-09,Boonsri,1
119,AGOC-3A,2014-09,Busarakhan,1
120,AGOC-3A,2014-09,Chai,3
121,AGOC-3A,2014-09,Kannika,3
122,AGOC-3A,2014-09,Kohsoom,1
123,AGOC-3A,2014-09,Sakda,3
124,AGOC-3A,2014-09,Somchair,1
125,AGOC-3A,2014-10,Boonsri,3
126,AGOC-3A,2014-10,Busarakhan,1
127,AGOC-3A,2014-10,Chai,3
128,AGOC-3A,2014-10,Kannika,3
129,AGOC-3A,2014-10,Kohsoom,1
130,AGOC-3A,2014-10,Sakda,3
131,AGOC-3A,2014-10,Somchair,1
132,AGOC-3A,2014-11,Boonsri,3
133,AGOC-3A,2014-11,Busarakhan,1
134,AGOC-3A,2014-11,Chai,3
135,AGOC-3A,2014-11,Kannika,3
136,AGOC-3A,2014-11,Kohsoom,1
137,AGOC-3A,2014-11,Sakda,3
138,AGOC-3A,2014-11,Somchair,1
139,AGOC-3A,2014-12,Boonsri,3
140,AGOC-3A,2014-12,Busarakhan,1
141,AGOC-3A,2014-12,Chai,3
142,AGOC-3A,2014-12,Kannika,3
143,AGOC-3A,2014-12,Kohsoom,1
144,AGOC-3A,2014-12,Sakda,3
145,AGOC-3A,2014-12,Somchair,1
146,AGOC-3A,2015-01,Boonsri,2
147,AGOC-3A,2015-01,Busarakhan,1
148,AGOC-3A,2015-01,Chai,3
149,AGOC-3A,2015-01,Kannika,3
150,AGOC-3A,2015-01,Kohsoom,1
151,AGOC-3A,2015-01,Sakda,3
152,AGOC-3A,2015-01,Somchair,1
153,AGOC-3A,2015-02,Boonsri,3
154,AGOC-3A,2015-02,Busarakhan,1
155,AGOC-3A,2015-02,Chai,3
156,AGOC-3A,2015-02,Kannika,3
157,AGOC-3A,2015-02,Kohsoom,1
158,AGOC-3A,2015-02,Sakda,3
159,AGOC-3A,2015-02,Somchair,1
160,AGOC-3A,2015-03,Boonsri,3
161,AGOC-3A,2015-03,Busarakhan,1
162,AGOC-3A,2015-03,Chai,3
163,AGOC-3A,2015-03,Kannika,3
164,AGOC-3A,2015-03,Kohsoom,1
165,AGOC-3A,2015-03,Sakda,3
166,AGOC-3A,2015-03,Somchair,1
167,AGOC-3A,2015-04,Boonsri,3
168,AGOC-3A,2015-04,Busarakhan,1
169,AGOC-3A,2015-04,Chai,3
170,AGOC-3A,2015-04,Kannika,3
171,AGOC-3A,2015-04,Kohsoom,1
172,AGOC-3A,2015-04,Sakda,3
173,AGOC-3A,2015-04,Somchair,1
174,AGOC-3A,2015-05,Boonsri,3
175,AGOC-3A,2015-05,Busarakhan,1
176,AGOC-3A,2015-05,Chai,3
177,AGOC-3A,2015-05,Kannika,3
178,AGOC-3A,2015-05,Kohsoom,1
179,AGOC-3A,2015-05,Sakda,3
180,AGOC-3A,2015-05,Somchair,1
181,AGOC-3A,2015-06,Boonsri,3
182,AGOC-3A,2015-06,Busarakhan,1
183,AGOC-3A,2015-06,Chai,3
184,AGOC-3A,2015-06,Kannika,3
185,AGOC-3A,2015-06,Kohsoom,1
186,AGOC-3A,2015-06,Sakda,3
187,AGOC-3A,2015-06,Somchair,1
188,AGOC-3A,2015-07,Boonsri,3
189,AGOC-3A,2015-07,Chai,3
190,AGOC-3A,2015-07,Kannika,3
191,AGOC-3A,2015-07,Kohsoom,1
192,AGOC-3A,2015-07,Sakda,3
193,AGOC-3A,2015-08,Boonsri,3
194,AGOC-3A,2015-08,Busarakhan,1
195,AGOC-3A,2015-08,Chai,3
196,AGOC-3A,2015-08,Kannika,3
197,AGOC-3A,2015-08,Kohsoom,1
198,AGOC-3A,2015-08,Sakda,3
199,AGOC-3A,2015-08,Somchair,1
200,AGOC-3A,2015-09,Boonsri,3
201,AGOC-3A,2015-09,Busarakhan,1
202,AGOC-3A,2015-09,Kannika,3
203,AGOC-3A,2015-09,Kohsoom,1
204,AGOC-3A,2015-09,Sakda,3
205,AGOC-3A,2015-09,Somchair,1
206,AGOC-3A,2015-10,Boonsri,3
207,AGOC-3A,2015-10,Busarakhan,1
208,AGOC-3A,2015-10,Chai,3
209,AGOC-3A,2015-10,Kohsoom,1
210,AGOC-3A,2015-10,Somchair,1
211,AGOC-3A,2015-11,Boonsri,3
212,AGOC-3A,2015-11,Kohsoom,1
213,AGOC-3A,2015-12,Boonsri,3
214,AGOC-3A,2016-01,Boonsri,1
215,AGOC-3A,2016-01,Busarakhan,1
216,AGOC-3A,2016-01,Chai,3
217,AGOC-3A,2016-01,Kannika,3
218,AGOC-3A,2016-01,Kohsoom,1
219,AGOC-3A,2016-01,Sakda,3
220,AGOC-3A,2016-01,Somchair,1
221,AGOC-3A,2016-02,Boonsri,3
222,AGOC-3A,2016-02,Busarakhan,1
223,AGOC-3A,2016-02,Chai,3
224,AGOC-3A,2016-02,Kannika,3
225,AGOC-3A,2016-02,Kohsoom,1
226,AGOC-3A,2016-02,Sakda,3
227,AGOC-3A,2016-02,Somchair,1
228,AGOC-3A,2016-03,Boonsri,3
229,AGOC-3A,2016-03,Busarakhan,1
230,AGOC-3A,2016-03,Chai,3
231,AGOC-3A,2016-03,Kannika,3
232,AGOC-3A,2016-03,Kohsoom,1
233,AGOC-3A,2016-03,Sakda,3
234,AGOC-3A,2016-03,Somchair,1
235,AGOC-3A,2016-04,Boonsri,3
236,AGOC-3A,2016-04,Busarakhan,1
237,AGOC-3A,2016-04,Chai,3
238,AGOC-3A,2016-04,Kannika,3
239,AGOC-3A,2016-04,Kohsoom,1
240,AGOC-3A,2016-04,Sakda,3
241,AGOC-3A,2016-04,Somchair,1
242,AGOC-3A,2016-05,Busarakhan,1
243,AGOC-3A,2016-05,Chai,3
244,AGOC-3A,2016-05,Kannika,3
245,AGOC-3A,2016-05,Sakda,3
246,AGOC-3A,2016-05,Somchair,1
247,AGOC-3A,2016-06,Boonsri,3
248,AGOC-3A,2016-06,Busarakhan,1
249,AGOC-3A,2016-06,Chai,3
250,AGOC-3A,2016-06,Kannika,3
251,AGOC-3A,2016-06,Kohsoom,1
252,AGOC-3A,2016-06,Sakda,3
253,AGOC-3A,2016-06,Somchair,1
254,AGOC-3A,2016-07,Boonsri,3
255,AGOC-3A,2016-07,Busarakhan,1
256,AGOC-3A,2016-07,Chai,3
257,AGOC-3A,2016-07,Kannika,3
258,AGOC-3A,2016-07,Kohsoom,1
259,AGOC-3A,2016-07,Sakda,3
260,AGOC-3A,2016-07,Somchair,1
261,AGOC-3A,2016-08,Boonsri,3
262,AGOC-3A,2016-08,Busarakhan,1
263,AGOC-3A,2016-08,Chai,2
264,AGOC-3A,2016-08,Kannika,3
265,AGOC-3A,2016-08,Kohsoom,1
266,AGOC-3A,2016-08,Sakda,3
267,AGOC-3A,2016-08,Somchair,1
268,AGOC-3A,2016-09,Boonsri,3
269,AGOC-3A,2016-09,Busarakhan,1
270,AGOC-3A,2016-09,Chai,3
271,AGOC-3A,2016-09,Kannika,3
272,AGOC-3A,2016-09,Kohsoom,1
273,AGOC-3A,2016-09,Sakda,3
274,AGOC-3A,2016-09,Somchair,1
275,AGOC-3A,2016-10,Boonsri,3
276,AGOC-3A,2016-10,Busarakhan,1
277,AGOC-3A,2016-10,Chai,3
278,AGOC-3A,2016-10,Kannika,3
279,AGOC-3A,2016-10,Kohsoom,1
280,AGOC-3A,2016-10,Sakda,3
281,AGOC-3A,2016-10,Somchair,1
282,AGOC-3A,2016-11,Boonsri,3
283,AGOC-3A,2016-11,Busarakhan,1
284,AGOC-3A,2016-11,Chai,3
285,AGOC-3A,2016-11,Kannika,3
286,AGOC-3A,2016-11,Kohsoom,1
287,AGOC-3A,2016-11,Sakda,3
288,AGOC-3A,2016-11,Somchair,1
289,AGOC-3A,2016-12,Busarakhan,1
290,AGOC-3A,2016-12,Kohsoom,1
291,AGOC-3A,2016-12,Somchair,1
292,AOX,1998-01,Boonsri,1
293,AOX,1998-01,Chai,3
294,AOX,1998-01,Kannika,3
295,AOX,1998-02,Boonsri,1
296,AOX,1998-02,Chai,3
297,AOX,1998-02,Kannika,3
298,AOX,1998-03,Boonsri,1
299,AOX,1998-03,Chai,3
300,AOX,1998-03,Kannika,3
301,AOX,1998-04,Boonsri,2
302,AOX,1998-04,Chai,3
303,AOX,1998-04,Kannika,3
304,AOX,1998-04,Kohsoom,1
305,AOX,1998-04,Sakda,1
306,AOX,1998-04,Somchair,1
307,AOX,1998-05,Boonsri,2
308,AOX,1998-05,Chai,3
309,AOX,1998-05,Kannika,3
310,AOX,1998-06,Boonsri,2
311,AOX,1998-06,Chai,3
312,AOX,1998-06,Kannika,3
313,AOX,1998-06,Kohsoom,1
314,AOX,1998-06,Sakda,1
315,AOX,1998-06,Somchair,1
316,AOX,1998-07,Boonsri,2
317,AOX,1998-07,Chai,3
318,AOX,1998-07,Kannika,3
319,AOX,1998-08,Boonsri,2
320,AOX,1998-08,Chai,3
321,AOX,1998-08,Kannika,3
322,AOX,1998-08,Kohsoom,1
323,AOX,1998-08,Sakda,1
324,AOX,1998-08,Somchair,1
325,AOX,1998-09,Boonsri,2
326,AOX,1998-09,Chai,3
327,AOX,1998-09,Kannika,3
328,AOX,1998-10,Boonsri,2
329,AOX,1998-10,Busarakhan,1
330,AOX,1998-10,Chai,3
331,AOX,1998-10,Kannika,3
332,AOX,1998-10,Kohsoom,1
333,AOX,1998-10,Sakda,3
334,AOX,1998-10,Somchair,1
335,AOX,1998-11,Boonsri,2
336,AOX,1998-11,Busarakhan,1
337,AOX,1998-11,Chai,3
338,AOX,1998-11,Kannika,3
339,AOX,1998-11,Kohsoom,1
340,AOX,1998-11,Sakda,3
341,AOX,1998-11,Somchair,1
342,AOX,1998-12,Boonsri,2
343,AOX,1998-12,Busarakhan,1
344,AOX,1998-12,Chai,3
345,AOX,1998-12,Kannika,3
346,AOX,1998-12,Kohsoom,1
347,AOX,1998-12,Sakda,3
348,AOX,1998-12,Somchair,1
349,AOX,2008-01,Chai,3
350,AOX,2008-01,Kannika,3
351,AOX,2008-01,Sakda,3
352,AOX,2008-02,Busarakhan,1
353,AOX,2008-02,Chai,3
354,AOX,2008-02,Sakda,3
355,AOX,2008-02,Somchair,1
356,AOX,2008-03,Busarakhan,1
357,AOX,2008-03,Chai,3
358,AOX,2008-03,Kannika,3
359,AOX,2008-03,Sakda,3
360,AOX,2008-03,Somchair,1
361,AOX,2008-05,Busarakhan,1
362,AOX,2008-05,Kannika,3
363,AOX,2008-05,Sakda,3
364,AOX,2008-05,Somchair,1
365,AOX,2008-10,Busarakhan,1
366,AOX,2008-10,Chai,3
367,AOX,2008-10,Kannika,3
368,AOX,2008-10,Sakda,3
369,AOX,2008-10,Somchair,1
370,AOX,2008-11,Busarakhan,1
371,AOX,2008-11,Chai,3
372,AOX,2008-11,Kannika,3
373,AOX,2008-11,Sakda,3
374,AOX,2008-11,Somchair,1
375,AOX,2008-12,Busarakhan,2
376,AOX,2008-12,Chai,3
377,AOX,2008-12,Kannika,3
378,AOX,2008-12,Sakda,3
379,AOX,2008-12,Somchair,2
380,AOX,2009-01,Boonsri,3
381,AOX,2009-01,Busarakhan,1
382,AOX,2009-01,Chai,3
383,AOX,2009-01,Kannika,3
384,AOX,2009-01,Kohsoom,1
385,AOX,2009-01,Sakda,3
386,AOX,2009-01,Somchair,1
387,AOX,2009-02,Boonsri,3
388,AOX,2009-02,Busarakhan,1
389,AOX,2009-02,Chai,3
390,AOX,2009-02,Kannika,3
391,AOX,2009-02,Kohsoom,1
392,AOX,2009-02,Sakda,3
393,AOX,2009-02,Somchair,1
394,AOX,2009-03,Boonsri,3
395,AOX,2009-03,Busarakhan,1
396,AOX,2009-03,Chai,3
397,AOX,2009-03,Kannika,3
398,AOX,2009-03,Kohsoom,1
399,AOX,2009-03,Sakda,3
400,AOX,2009-03,Somchair,1
401,AOX,2009-04,Boonsri,3
402,AOX,2009-04,Busarakhan,1
403,AOX,2009-04,Chai,3
404,AOX,2009-04,Kannika,3
405,AOX,2009-04,Kohsoom,1
406,AOX,2009-04,Sakda,3
407,AOX,2009-04,Somchair,1
408,AOX,2009-05,Boonsri,3
409,AOX,2009-05,Busarakhan,1
410,AOX,2009-05,Chai,3
411,AOX,2009-05,Kannika,3
412,AOX,2009-05,Kohsoom,1
413,AOX,2009-05,Sakda,3
414,AOX,2009-05,Somchair,1
415,AOX,2009-06,Boonsri,3
416,AOX,2009-06,Busarakhan,1
417,AOX,2009-06,Chai,3
418,AOX,2009-06,Kannika,3
419,AOX,2009-06,Kohsoom,1
420,AOX,2009-06,Sakda,3
421,AOX,2009-06,Somchair,1
422,AOX,2009-07,Boonsri,3
423,AOX,2009-07,Busarakhan,1
424,AOX,2009-07,Chai,3
425,AOX,2009-07,Kannika,3
426,AOX,2009-07,Kohsoom,1
427,AOX,2009-07,Sakda,3
428,AOX,2009-07,Somchair,1
429,AOX,2009-08,Boonsri,3
430,AOX,2009-08,Busarakhan,1
431,AOX,2009-08,Chai,3
432,AOX,2009-08,Kannika,3
433,AOX,2009-08,Kohsoom,1
434,AOX,2009-08,Sakda,3
435,AOX,2009-08,Somchair,1
436,AOX,2009-09,Chai,3
437,AOX,2009-09,Kannika,5
438,AOX,2009-09,Sakda,3
439,AOX,2009-09,Somchair,1
440,AOX,2009-10,Busarakhan,1
441,AOX,2009-10,Chai,3
442,AOX,2009-10,Kannika,3
443,AOX,2009-10,Sakda,3
444,AOX,2009-10,Somchair,1
445,AOX,2009-11,Busarakhan,1
446,AOX,2009-11,Chai,3
447,AOX,2009-11,Kannika,3
448,AOX,2009-11,Sakda,3
449,AOX,2009-11,Somchair,1
450,AOX,2009-12,Busarakhan,1
451,AOX,2009-12,Chai,3
452,AOX,2009-12,Kannika,3
453,AOX,2009-12,Sakda,3
454,AOX,2009-12,Somchair,1
455,AOX,2010-01,Boonsri,1
456,AOX,2010-01,Kohsoom,1
457,AOX,2010-02,Boonsri,3
458,AOX,2010-02,Kohsoom,1
459,AOX,2010-03,Boonsri,3
460,AOX,2010-03,Kohsoom,1
461,AOX,2010-04,Boonsri,3
462,AOX,2010-04,Kohsoom,1
463,AOX,2010-05,Boonsri,3
464,AOX,2010-05,Kohsoom,1
465,AOX,2010-06,Boonsri,3
466,AOX,2010-06,Kohsoom,1
467,AOX,2010-07,Boonsri,3
468,AOX,2010-07,Kohsoom,1
469,AOX,2010-08,Boonsri,3
470,AOX,2010-08,Kohsoom,1
471,AOX,2010-09,Boonsri,3
472,AOX,2010-09,Kohsoom,1
473,AOX,2010-10,Boonsri,3
474,AOX,2010-10,Kohsoom,1
475,AOX,2010-11,Boonsri,3
476,AOX,2010-11,Kohsoom,1
477,AOX,2010-12,Kohsoom,1
478,AOX,2013-01,Boonsri,3
479,AOX,2013-01,Kohsoom,1
480,AOX,2013-02,Boonsri,3
481,AOX,2013-02,Kohsoom,1
482,AOX,2013-03,Boonsri,3
483,AOX,2013-03,Kohsoom,1
484,AOX,2013-04,Boonsri,3
485,AOX,2013-04,Kohsoom,1
486,AOX,2013-05,Boonsri,3
487,AOX,2013-05,Kohsoom,1
488,AOX,2013-06,Boonsri,3
489,AOX,2013-06,Kohsoom,1
490,AOX,2013-07,Boonsri,3
491,AOX,2013-07,Kohsoom,1
492,AOX,2013-08,Boonsri,3
493,AOX,2013-08,Kohsoom,1
494,AOX,2013-09,Boonsri,3
495,AOX,2013-09,Kohsoom,1
496,AOX,2013-10,Boonsri,3
497,AOX,2013-10,Kohsoom,1
498,AOX,2013-11,Boonsri,3
499,AOX,2013-11,Kohsoom,1
500,AOX,2013-12,Boonsri,3
501,AOX,2013-12,Kohsoom,1
502,AOX,2016-01,Boonsri,3
503,AOX,2016-02,Boonsri,3
504,AOX,2016-02,Kohsoom,1
505,AOX,2016-03,Boonsri,3
506,AOX,2016-03,Kohsoom,1
507,AOX,2016-04,Boonsri,3
508,AOX,2016-04,Kohsoom,1
509,AOX,2016-05,Boonsri,3
510,AOX,2016-05,Kohsoom,1
511,AOX,2016-06,Boonsri,3
512,AOX,2016-06,Kohsoom,1
513,AOX,2016-07,Boonsri,3
514,AOX,2016-07,Kohsoom,1
515,AOX,2016-08,Boonsri,3
516,AOX,2016-08,Kohsoom,1
517,AOX,2016-09,Boonsri,3
518,AOX,2016-09,Kohsoom,1
519,AOX,2016-10,Boonsri,3
520,AOX,2016-10,Kohsoom,1
521,AOX,2016-11,Boonsri,1
522,AOX,2016-11,Kohsoom,1
523,AOX,2016-12,Boonsri,3
524,AOX,2016-12,Kohsoom,1
525,Acenaphthene,2008-01,Boonsri,1
526,Acenaphthene,2008-02,Boonsri,3
527,Acenaphthene,2008-02,Kohsoom,1
528,Acenaphthene,2008-03,Boonsri,3
529,Acenaphthene,2008-03,Kohsoom,1
530,Acenaphthene,2008-05,Kohsoom,1
531,Acenaphthene,2008-06,Boonsri,3
532,Acenaphthene,2008-06,Kohsoom,1
533,Acenaphthene,2008-07,Boonsri,6
534,Acenaphthene,2008-07,Kohsoom,1
535,Acenaphthene,2008-08,Boonsri,3
536,Acenaphthene,2008-09,Boonsri,1
537,Acenaphthene,2008-09,Kohsoom,1
538,Acenaphthene,2008-10,Boonsri,3
539,Acenaphthene,2008-10,Kohsoom,1
540,Acenaphthene,2008-11,Boonsri,3
541,Acenaphthene,2008-11,Kohsoom,1
542,Acenaphthene,2009-01,Boonsri,1
543,Acenaphthene,2009-02,Boonsri,3
544,Acenaphthene,2009-03,Boonsri,3
545,Acenaphthene,2009-03,Kohsoom,1
546,Acenaphthene,2009-04,Boonsri,3
547,Acenaphthene,2009-05,Boonsri,3
548,Acenaphthene,2009-05,Kohsoom,1
549,Acenaphthene,2009-06,Boonsri,3
550,Acenaphthene,2009-06,Kohsoom,1
551,Acenaphthene,2009-07,Boonsri,3
552,Acenaphthene,2009-07,Kohsoom,1
553,Acenaphthene,2009-08,Boonsri,3
554,Acenaphthene,2009-08,Kohsoom,1
555,Acenaphthene,2009-09,Boonsri,3
556,Acenaphthene,2009-09,Kohsoom,1
557,Acenaphthene,2009-10,Boonsri,3
558,Acenaphthene,2009-10,Kohsoom,1
559,Acenaphthene,2009-11,Boonsri,3
560,Acenaphthene,2009-11,Kohsoom,1
561,Acenaphthene,2009-12,Boonsri,3
562,Acenaphthylene,2008-01,Boonsri,1
563,Acenaphthylene,2008-02,Boonsri,3
564,Acenaphthylene,2008-02,Kohsoom,1
565,Acenaphthylene,2008-03,Boonsri,3
566,Acenaphthylene,2008-03,Kohsoom,1
567,Acenaphthylene,2008-05,Kohsoom,1
568,Acenaphthylene,2008-06,Boonsri,3
569,Acenaphthylene,2008-06,Kohsoom,1
570,Acenaphthylene,2008-07,Boonsri,6
571,Acenaphthylene,2008-07,Kohsoom,1
572,Acenaphthylene,2008-08,Boonsri,3
573,Acenaphthylene,2008-09,Boonsri,1
574,Acenaphthylene,2008-09,Kohsoom,1
575,Acenaphthylene,2008-10,Boonsri,3
576,Acenaphthylene,2008-10,Kohsoom,1
577,Acenaphthylene,2008-11,Boonsri,3
578,Acenaphthylene,2008-11,Kohsoom,1
579,Acenaphthylene,2009-01,Boonsri,1
580,Acenaphthylene,2009-02,Boonsri,3
581,Acenaphthylene,2009-03,Boonsri,3
582,Acenaphthylene,2009-03,Kohsoom,1
583,Acenaphthylene,2009-04,Boonsri,3
584,Acenaphthylene,2009-05,Boonsri,3
585,Acenaphthylene,2009-05,Kohsoom,1
586,Acenaphthylene,2009-06,Boonsri,3
587,Acenaphthylene,2009-06,Kohsoom,1
588,Acenaphthylene,2009-07,Boonsri,3
589,Acenaphthylene,2009-07,Kohsoom,1
590,Acenaphthylene,2009-08,Boonsri,3
591,Acenaphthylene,2009-08,Kohsoom,1
592,Acenaphthylene,2009-09,Boonsri,3
593,Acenaphthylene,2009-09,Kohsoom,1
594,Acenaphthylene,2009-10,Boonsri,3
595,Acenaphthylene,2009-10,Kohsoom,1
596,Acenaphthylene,2009-11,Boonsri,3
597,Acenaphthylene,2009-11,Kohsoom,1
598,Acenaphthylene,2009-12,Boonsri,3
599,Alachlor,2005-05,Boonsri,4
600,Alachlor,2005-05,Busarakhan,1
601,Alachlor,2005-05,Chai,6
602,Alachlor,2005-05,Kannika,3
603,Alachlor,2005-05,Kohsoom,1
604,Alachlor,2005-05,Sakda,3
605,Alachlor,2005-05,Somchair,1
606,Alachlor,2005-07,Boonsri,6
607,Alachlor,2005-07,Busarakhan,1
608,Alachlor,2005-07,Chai,6
609,Alachlor,2005-07,Kannika,3
610,Alachlor,2005-07,Kohsoom,1
611,Alachlor,2005-07,Sakda,3
612,Alachlor,2005-07,Somchair,1
613,Alachlor,2005-08,Boonsri,6
614,Alachlor,2005-08,Busarakhan,1
615,Alachlor,2005-08,Chai,6
616,Alachlor,2005-08,Kannika,3
617,Alachlor,2005-08,Kohsoom,1
618,Alachlor,2005-08,Sakda,3
619,Alachlor,2005-08,Somchair,1
620,Alachlor,2005-09,Boonsri,6
621,Alachlor,2005-09,Busarakhan,1
622,Alachlor,2005-09,Chai,6
623,Alachlor,2005-09,Kannika,3
