id,chemical,date,year,value
206,Alachlor,2006-12,2006,0.14866666666666664
207,Alachlor,2007-01,2007,0.09390476190476191
208,Alachlor,2007-02,2007,0.10873333333333333
209,Alachlor,2007-03,2007,0.10690476190476186
210,Alachlor,2007-04,2007,0.12531578947368419
211,Alachlor,2007-05,2007,0.16583333333333328
212,Alachlor,2007-06,2007,0.03572222222222223
213,Alachlor,2007-07,2007,0.04604761904761906
214,Alachlor,2007-08,2007,0.046166666666666675
215,Alachlor,2007-09,2007,0.07572222222222222
216,Alachlor,2007-10,2007,0.08093750000000001
217,Alachlor,2007-11,2007,0.0537777777777778
218,Alachlor,2007-12,2007,0.03538888888888889
219,Alachlor,2009-09,2009,0.024999999999999998
220,Alachlor,2009-10,2009,0.025
221,Alachlor,2009-11,2009,0.025
222,Aldrin,2005-01,2005,0.0
223,Aldrin,2005-02,2005,0.0005555555555555556
224,Aldrin,2005-03,2005,0.0
225,Aldrin,2005-04,2005,0.026523809523809526
226,Aldrin,2005-05,2005,0.0
227,Aldrin,2005-06,2005,0.0025789473684210526
228,Aldrin,2005-07,2005,0.03604761904761905
229,Aldrin,2005-08,2005,0.008714285714285714
230,Aldrin,2005-09,2005,0.009047619047619047
231,Aldrin,2005-10,2005,0.0972
232,Aldrin,2005-11,2005,0.016
233,Aldrin,2005-12,2005,0.07675
234,Aldrin,2006-01,2006,0.033
235,Aldrin,2006-02,2006,0.09389473684210527
236,Aldrin,2006-03,2006,0.25161538461538463
237,Aldrin,2006-04,2006,0.17404999999999998
238,Aldrin,2006-05,2006,0.083
239,Aldrin,2006-06,2006,0.093125
240,Aldrin,2006-07,2006,0.08195238095238096
241,Aldrin,2006-08,2006,0.06642857142857143
242,Aldrin,2006-09,2006,0.07694444444444443
243,Aldrin,2006-10,2006,0.0536875
244,Aldrin,2006-11,2006,0.10690476190476189
245,Aldrin,2006-12,2006,0.07872222222222221
246,Aldrin,2007-01,2007,0.10657142857142855
247,Aldrin,2007-02,2007,0.05075
248,Aldrin,2007-03,2007,0.024
249,Aldrin,2007-04,2007,0.014736842105263163
250,Aldrin,2007-05,2007,0.02435294117647059
251,Aldrin,2007-06,2007,0.006944444444444446
252,Aldrin,2007-07,2007,0.011476190476190477
253,Aldrin,2007-08,2007,0.012833333333333335
254,Aldrin,2007-09,2007,0.013444444444444445
255,Aldrin,2007-10,2007,0.008000000000000002
256,Aldrin,2007-11,2007,0.011666666666666669
257,Aldrin,2007-12,2007,0.015611111111111112
258,Aldrin,2008-01,2008,0.025
259,Aldrin,2008-02,2008,0.025
260,Aldrin,2008-03,2008,0.025
261,Aldrin,2008-05,2008,0.024999999999999998
262,Aldrin,2008-06,2008,0.025
263,Aldrin,2008-07,2008,0.0283
264,Aldrin,2008-08,2008,0.025
265,Aldrin,2008-09,2008,0.025
266,Aldrin,2008-10,2008,0.025
267,Aldrin,2008-11,2008,0.025
268,Aldrin,2009-01,2009,0.001
269,Aldrin,2009-02,2009,0.001
270,Aldrin,2009-03,2009,0.001
271,Aldrin,2009-04,2009,0.001
272,Aldrin,2009-05,2009,0.001
273,Aldrin,2009-06,2009,0.001
274,Aldrin,2009-07,2009,0.0026000000000000007
275,Aldrin,2009-08,2009,0.001
276,Aldrin,2009-09,2009,0.011200000000000002
277,Aldrin,2009-10,2009,0.010444444444444445
278,Aldrin,2009-11,2009,0.0044
279,Aldrin,2009-12,2009,0.001
280,Aluminium,2008-05,2008,39.65555555555555
281,Aluminium,2008-10,2008,42.14545454545455
282,Aluminium,2009-04,2009,537.2727272727273
283,Aluminium,2009-05,2009,141.54545454545453
284,Aluminium,2009-06,2009,153.45454545454547
285,Aluminium,2009-07,2009,203.625
286,Aluminium,2009-08,2009,95.125
287,Aluminium,2009-09,2009,112.0
288,Aluminium,2009-10,2009,117.0909090909091
289,Aluminium,2009-11,2009,69.72727272727273
290,Aluminium,2009-12,2009,56.36363636363637
291,Aluminium,2010-01,2010,73.81818181818181
292,Aluminium,2014-06,2014,0.0
293,Ammonium,1998-01,1998,0.34142857142857147
294,Ammonium,1998-02,1998,0.32
295,Ammonium,1998-03,1998,0.6328571428571428
296,Ammonium,1998-04,1998,1.5563636363636364
297,Ammonium,1998-05,1998,0.29125000000000006
298,Ammonium,1998-06,1998,0.3463636363636364
299,Ammonium,1998-07,1998,0.46875
300,Ammonium,1998-08,1998,0.38272727272727275
301,Ammonium,1998-09,1998,0.19749999999999998
302,Ammonium,1998-10,1998,0.3435714285714285
303,Ammonium,1998-11,1998,0.30357142857142866
304,Ammonium,1998-12,1998,0.3071428571428571
305,Ammonium,1999-01,1999,0.7286666666666668
306,Ammonium,1999-02,1999,0.9160000000000001
307,Ammonium,1999-03,1999,0.5313333333333333
308,Ammonium,1999-04,1999,0.25266666666666665
309,Ammonium,1999-05,1999,0.49266666666666664
310,Ammonium,1999-06,1999,0.19866666666666666
311,Ammonium,1999-07,1999,0.41000000000000003
312,Ammonium,1999-08,1999,0.3485714285714286
313,Ammonium,1999-09,1999,0.5392857142857144
314,Ammonium,1999-10,1999,0.31928571428571434
315,Ammonium,1999-11,1999,1.2349999999999997
316,Ammonium,1999-12,1999,0.647142857142857
317,Ammonium,2000-01,2000,1.297857142857143
318,Ammonium,2000-02,2000,1.0559999999999998
319,Ammonium,2000-03,2000,0.8886666666666666
320,Ammonium,2000-04,2000,0.4413333333333333
321,Ammonium,2000-05,2000,1.0680000000000003
322,Ammonium,2000-06,2000,0.15400000000000003
323,Ammonium,2000-07,2000,0.7346666666666669
324,Ammonium,2000-08,2000,0.3013333333333333
325,Ammonium,2000-09,2000,0.7226666666666668
326,Ammonium,2000-10,2000,0.33133333333333337
327,Ammonium,2000-11,2000,0.46799999999999997
328,Ammonium,2000-12,2000,0.44399999999999995
329,Ammonium,2001-01,2001,0.5926666666666667
330,Ammonium,2001-02,2001,0.5033333333333333
331,Ammonium,2001-03,2001,0.35533333333333333
332,Ammonium,2001-04,2001,0.3680000000000001
333,Ammonium,2001-05,2001,0.3786666666666667
334,Ammonium,2001-06,2001,0.41933333333333345
335,Ammonium,2001-07,2001,0.38799999999999996
336,Ammonium,2001-08,2001,0.22666666666666666
337,Ammonium,2001-09,2001,0.3813333333333333
338,Ammonium,2001-10,2001,0.635
339,Ammonium,2001-11,2001,0.4390909090909091
340,Ammonium,2001-12,2001,0.573
341,Ammonium,2002-01,2002,0.29222222222222216
342,Ammonium,2002-02,2002,0.475
343,Ammonium,2002-03,2002,0.4705555555555556
344,Ammonium,2002-04,2002,0.45733333333333337
345,Ammonium,2002-05,2002,0.5523809523809524
346,Ammonium,2002-06,2002,0.3523809523809523
347,Ammonium,2002-07,2002,0.46619047619047616
348,Ammonium,2002-08,2002,0.46142857142857147
349,Ammonium,2002-09,2002,0.3525
350,Ammonium,2002-10,2002,0.714848484848485
351,Ammonium,2002-11,2002,0.464375
352,Ammonium,2002-12,2002,0.4814285714285715
353,Ammonium,2003-01,2003,0.43523529411764705
354,Ammonium,2003-02,2003,0.35000000000000003
355,Ammonium,2003-03,2003,0.262
356,Ammonium,2003-04,2003,0.34319047619047616
357,Ammonium,2003-05,2003,0.5783809523809524
358,Ammonium,2003-06,2003,0.5549047619047619
359,Ammonium,2003-07,2003,0.7220000000000001
360,Ammonium,2003-08,2003,0.762
361,Ammonium,2003-09,2003,0.3946666666666666
362,Ammonium,2003-10,2003,0.537047619047619
363,Ammonium,2003-11,2003,0.4187619047619048
364,Ammonium,2003-12,2003,0.6827142857142858
365,Ammonium,2004-01,2004,0.9372500000000001
366,Ammonium,2004-02,2004,0.7525
367,Ammonium,2004-03,2004,0.364
368,Ammonium,2004-04,2004,0.2384285714285714
369,Ammonium,2004-05,2004,0.36228571428571427
370,Ammonium,2004-06,2004,0.2998095238095238
371,Ammonium,2004-07,2004,0.3744761904761904
372,Ammonium,2004-08,2004,0.26757142857142857
373,Ammonium,2004-09,2004,0.19657142857142856
374,Ammonium,2004-10,2004,0.22961111111111115
375,Ammonium,2004-11,2004,0.8323
376,Ammonium,2004-12,2004,0.32743750000000005
377,Ammonium,2005-01,2005,0.5966666666666667
378,Ammonium,2005-02,2005,0.5348095238095238
379,Ammonium,2005-03,2005,0.5785714285714286
380,Ammonium,2005-04,2005,0.4871904761904762
381,Ammonium,2005-05,2005,0.5179047619047619
382,Ammonium,2005-06,2005,0.47257142857142853
383,Ammonium,2005-07,2005,0.4626190476190476
384,Ammonium,2005-08,2005,0.42700000000000005
385,Ammonium,2005-09,2005,0.31361904761904763
386,Ammonium,2005-10,2005,0.28242857142857136
387,Ammonium,2005-11,2005,0.2665238095238095
388,Ammonium,2005-12,2005,0.3353809523809524
389,Ammonium,2006-01,2006,0.30546190476190477
390,Ammonium,2006-02,2006,0.7087619047619048
391,Ammonium,2006-03,2006,0.5565238095238094
392,Ammonium,2006-04,2006,0.27299999999999996
393,Ammonium,2006-05,2006,0.40090476190476193
394,Ammonium,2006-06,2006,0.5307142857142857
395,Ammonium,2006-07,2006,0.43405000000000005
396,Ammonium,2006-08,2006,0.5451904761904762
397,Ammonium,2006-09,2006,0.6370476190476191
398,Ammonium,2006-10,2006,0.935263157894737
399,Ammonium,2006-11,2006,0.43009523809523803
400,Ammonium,2006-12,2006,0.5257619047619048
401,Ammonium,2007-01,2007,0.31090476190476196
402,Ammonium,2007-02,2007,0.3934526315789474
403,Ammonium,2007-03,2007,0.36119999999999997
404,Ammonium,2007-04,2007,0.4683473684210526
405,Ammonium,2007-05,2007,0.36671428571428566
406,Ammonium,2007-06,2007,0.4037142857142857
407,Ammonium,2007-07,2007,0.47409523809523807
408,Ammonium,2007-08,2007,0.3092666666666667
409,Ammonium,2007-09,2007,0.2705555555555556
410,Ammonium,2007-10,2007,0.8488125
411,Ammonium,2007-11,2007,0.5796315789473684
412,Ammonium,2007-12,2007,0.5200555555555555
413,Ammonium,2008-01,2008,0.6940714285714286
414,Ammonium,2008-02,2008,0.49193749999999986
415,Ammonium,2008-03,2008,0.5116111111111112
416,Ammonium,2008-04,2008,0.34888888888888886
417,Ammonium,2008-05,2008,0.34220000000000006
418,Ammonium,2008-06,2008,0.48338095238095236
419,Ammonium,2008-07,2008,0.4846190476190476
420,Ammonium,2008-08,2008,0.49218518518518517
421,Ammonium,2008-09,2008,0.31644545454545453
422,Ammonium,2008-10,2008,0.45860740740740735
423,Ammonium,2008-11,2008,0.38587142857142853
424,Ammonium,2008-12,2008,0.41898823529411766
425,Ammonium,2009-01,2009,0.4912318181818181
426,Ammonium,2009-02,2009,0.5226666666666667
427,Ammonium,2009-03,2009,0.443875
428,Ammonium,2009-04,2009,0.24683333333333332
429,Ammonium,2009-05,2009,0.3594166666666667
430,Ammonium,2009-06,2009,0.3861666666666667
431,Ammonium,2009-07,2009,0.5775833333333333
432,Ammonium,2009-08,2009,0.3975238095238095
433,Ammonium,2009-09,2009,0.4419565217391305
434,Ammonium,2009-10,2009,0.43050000000000005
435,Ammonium,2009-11,2009,0.21933333333333335
436,Ammonium,2009-12,2009,0.25733333333333336
437,Ammonium,2010-01,2010,0.9140499999999999
438,Ammonium,2010-02,2010,0.5342916666666665
439,Ammonium,2010-03,2010,0.5555
440,Ammonium,2010-04,2010,0.34266666666666673
441,Ammonium,2010-05,2010,0.31017391304347824
442,Ammonium,2010-06,2010,0.4524782608695652
443,Ammonium,2010-07,2010,0.26987500000000003
444,Ammonium,2010-08,2010,0.3684782608695652
445,Ammonium,2010-09,2010,0.3826562500000001
446,Ammonium,2010-10,2010,0.2684333333333333
447,Ammonium,2010-11,2010,0.34058064516129033
448,Ammonium,2010-12,2010,0.3102758620689655
449,Ammonium,2011-01,2011,0.4089200000000001
450,Ammonium,2011-02,2011,0.32782758620689656
451,Ammonium,2011-03,2011,0.394111111111111
452,Ammonium,2011-04,2011,0.23291304347826092
453,Ammonium,2011-05,2011,0.26919999999999994
454,Ammonium,2011-06,2011,0.3035517241379311
455,Ammonium,2011-07,2011,0.21494444444444444
456,Ammonium,2011-08,2011,0.22085294117647059
457,Ammonium,2011-09,2011,0.2178260869565217
458,Ammonium,2011-10,2011,0.23192000000000004
459,Ammonium,2011-11,2011,0.22725806451612904
460,Ammonium,2011-12,2011,0.3416071428571429
461,Ammonium,2012-01,2012,0.42181052631578947
462,Ammonium,2012-02,2012,0.4274555555555555
463,Ammonium,2012-03,2012,0.5817576923076924
464,Ammonium,2012-04,2012,0.280812
465,Ammonium,2012-05,2012,0.2686111111111111
466,Ammonium,2012-06,2012,0.2954947368421052
467,Ammonium,2012-07,2012,0.22727241379310342
468,Ammonium,2012-08,2012,0.18356470588235296
469,Ammonium,2012-09,2012,0.12874615384615384
470,Ammonium,2012-10,2012,0.20995862068965518
471,Ammonium,2012-11,2012,0.25742
472,Ammonium,2012-12,2012,0.21397307692307693
473,Ammonium,2013-01,2013,0.2345
474,Ammonium,2013-02,2013,0.22519230769230772
475,Ammonium,2013-03,2013,0.15783333333333333
476,Ammonium,2013-04,2013,0.1773833333333333
477,Ammonium,2013-05,2013,0.14742857142857144
478,Ammonium,2013-06,2013,0.19911538461538464
479,Ammonium,2013-07,2013,0.1805125
480,Ammonium,2013-08,2013,0.1890416666666667
481,Ammonium,2013-09,2013,0.24125
482,Ammonium,2013-10,2013,0.43261904761904757
483,Ammonium,2013-11,2013,0.4071333333333334
484,Ammonium,2013-12,2013,0.6301724137931035
485,Ammonium,2014-01,2014,1.1542478260869566
486,Ammonium,2014-02,2014,0.4512857142857144
487,Ammonium,2014-03,2014,0.2850521212121212
488,Ammonium,2014-04,2014,0.17826923076923076
489,Ammonium,2014-05,2014,0.18893111111111113
490,Ammonium,2014-06,2014,0.3378014814814815
491,Ammonium,2014-07,2014,0.35923304347826085
492,Ammonium,2014-08,2014,0.307650625
493,Ammonium,2014-09,2014,0.8183688235294116
494,Ammonium,2014-10,2014,0.949630344827586
495,Ammonium,2014-11,2014,0.6900778378378378
496,Ammonium,2014-12,2014,0.6786435714285713
497,Ammonium,2015-01,2015,0.5811999999999999
498,Ammonium,2015-02,2015,0.5355200000000001
499,Ammonium,2015-03,2015,0.2286481481481481
500,Ammonium,2015-04,2015,0.22257999999999994
501,Ammonium,2015-05,2015,0.20325925925925925
502,Ammonium,2015-06,2015,0.260111111111111
503,Ammonium,2015-07,2015,0.16309642857142861
504,Ammonium,2015-08,2015,0.23842424242424243
505,Ammonium,2015-09,2015,0.17994800000000002
506,Ammonium,2015-10,2015,0.11934285714285711
507,Ammonium,2015-11,2015,0.11975483870967743
508,Ammonium,2015-12,2015,0.2774814814814815
509,Ammonium,2016-01,2016,0.2086875
510,Ammonium,2016-02,2016,0.4446250000000001
511,Ammonium,2016-03,2016,0.16427999999999998
512,Ammonium,2016-04,2016,0.09665199999999999
513,Ammonium,2016-05,2016,0.140592
514,Ammonium,2016-06,2016,0.21240000000000006
515,Ammonium,2016-07,2016,0.18066666666666664
516,Ammonium,2016-08,2016,0.07913870967741937
517,Ammonium,2016-09,2016,0.10540625
518,Ammonium,2016-10,2016,0.08000000000000002
519,Ammonium,2016-11,2016,0.18686956521739126
520,Ammonium,2016-12,2016,0.15155999999999997
521,Anionic active surfactants,1999-01,1999,0.08
522,Anionic active surfactants,1999-02,1999,0.09909090909090908
523,Anionic active surfactants,1999-03,1999,0.015454545454545455
524,Anionic active surfactants,1999-05,1999,0.07500000000000001
525,Anionic active surfactants,1999-07,1999,0.08
526,Anionic active surfactants,2000-01,2000,0.10428571428571429
527,Anionic active surfactants,2000-02,2000,0.09000000000000002
528,Anionic active surfactants,2000-03,2000,0.07666666666666667
529,Anionic active surfactants,2000-04,2000,0.09400000000000003
530,Anionic active surfactants,2000-05,2000,0.08133333333333333
531,Anionic active surfactants,2000-06,2000,0.11533333333333334
532,Anionic active surfactants,2000-07,2000,0.08600000000000001
533,Anionic active surfactants,2000-08,2000,0.08
534,Anionic active surfactants,2000-09,2000,0.07466666666666667
535,Anionic active surfactants,2000-10,2000,0.08533333333333333
536,Anionic active surfactants,2000-11,2000,0.074
537,Anionic active surfactants,2000-12,2000,0.07466666666666666
538,Anionic active surfactants,2001-01,2001,0.066
539,Anionic active surfactants,2001-02,2001,0.08833333333333333
540,Anionic active surfactants,2001-03,2001,0.038000000000000006
541,Anionic active surfactants,2001-04,2001,0.06266666666666665
542,Anionic active surfactants,2001-05,2001,0.11133333333333334
543,Anionic active surfactants,2001-06,2001,0.07533333333333332
544,Anionic active surfactants,2001-07,2001,0.09066666666666666
545,Anionic active surfactants,2001-08,2001,0.09285714285714286
546,Anionic active surfactants,2001-09,2001,0.15
547,Anionic active surfactants,2001-11,2001,0.46125000000000005
548,Anionic active surfactants,2001-12,2001,0.031111111111111114
549,Anionic active surfactants,2002-09,2002,0.07
550,Anionic active surfactants,2002-10,2002,0.08250000000000002
551,Anionic active surfactants,2003-01,2003,0.04221428571428571
552,Anionic active surfactants,2003-02,2003,0.03620000000000001
553,Anionic active surfactants,2003-03,2003,0.033615384615384616
554,Anionic active surfactants,2003-04,2003,0.03214285714285715
555,Anionic active surfactants,2003-05,2003,0.028666666666666663
556,Anionic active surfactants,2003-06,2003,0.029333333333333333
557,Anionic active surfactants,2003-07,2003,0.02566666666666667
558,Anionic active surfactants,2003-10,2003,0.07266666666666667
559,Anionic active surfactants,2003-11,2003,0.028666666666666663
560,Anionic active surfactants,2003-12,2003,0.07175
561,Anionic active surfactants,2004-01,2004,0.03325
562,Anionic active surfactants,2004-02,2004,0.0
563,Anionic active surfactants,2004-03,2004,0.13466666666666668
564,Anionic active surfactants,2004-04,2004,0.04816666666666667
565,Anionic active surfactants,2004-05,2004,0.0
566,Anionic active surfactants,2004-06,2004,0.0
567,Anionic active surfactants,2004-07,2004,0.0
568,Anionic active surfactants,2004-08,2004,0.0
569,Anionic active surfactants,2004-09,2004,0.009857142857142858
570,Anionic active surfactants,2004-10,2004,0.006142857142857143
571,Anionic active surfactants,2004-11,2004,0.01632
572,Anionic active surfactants,2004-12,2004,0.0
573,Anionic active surfactants,2005-01,2005,0.027
574,Anionic active surfactants,2005-02,2005,0.05396153846153847
