id,chemical,year,location,value
200,AGOC-3A,2015-09,Boonsri,0.31
201,AGOC-3A,2015-09,Busarakhan,0.302
202,AGOC-3A,2015-09,Kannika,0.294
203,AGOC-3A,2015-09,Kohsoom,0.34600000000000003
204,AGOC-3A,2015-09,Sakda,2.1946666666666665
205,AGOC-3A,2015-09,Somchair,1.338
206,AGOC-3A,2015-10,Boonsri,0.297
207,AGOC-3A,2015-10,Busarakhan,0.268
208,AGOC-3A,2015-10,Chai,5.762333333333334
209,AGOC-3A,2015-10,Kohsoom,0.251
210,AGOC-3A,2015-10,Somchair,0.298
211,AGOC-3A,2015-11,Boonsri,0.598
212,AGOC-3A,2015-11,Kohsoom,1.1520000000000001
213,AGOC-3A,2015-12,Boonsri,0.30666666666666664
214,AGOC-3A,2016-01,Boonsri,0.040999999999999995
215,AGOC-3A,2016-01,Busarakhan,0.023
216,AGOC-3A,2016-01,Chai,0.016
217,AGOC-3A,2016-01,Kannika,0.022000000000000002
218,AGOC-3A,2016-01,Kohsoom,0.391
219,AGOC-3A,2016-01,Sakda,0.03366666666666667
220,AGOC-3A,2016-01,Somchair,0.268
221,AGOC-3A,2016-02,Boonsri,0.035
222,AGOC-3A,2016-02,Busarakhan,0.048
223,AGOC-3A,2016-02,Chai,0.034666666666666665
224,AGOC-3A,2016-02,Kannika,0.04
225,AGOC-3A,2016-02,Kohsoom,0.07
226,AGOC-3A,2016-02,Sakda,0.04033333333333333
227,AGOC-3A,2016-02,Somchair,0.05
228,AGOC-3A,2016-03,Boonsri,0.021
229,AGOC-3A,2016-03,Busarakhan,0.067
230,AGOC-3A,2016-03,Chai,0.042333333333333334
231,AGOC-3A,2016-03,Kannika,0.026333333333333334
232,AGOC-3A,2016-03,Kohsoom,0.008
233,AGOC-3A,2016-03,Sakda,0.034333333333333334
234,AGOC-3A,2016-03,Somchair,0.077
235,AGOC-3A,2016-04,Boonsri,0.04766666666666666
236,AGOC-3A,2016-04,Busarakhan,2.7230000000000003
237,AGOC-3A,2016-04,Chai,0.5856666666666667
238,AGOC-3A,2016-04,Kannika,0.038
239,AGOC-3A,2016-04,Kohsoom,0.006999999999999999
240,AGOC-3A,2016-04,Sakda,0.05833333333333333
241,AGOC-3A,2016-04,Somchair,0.785
242,AGOC-3A,2016-05,Busarakhan,0.069
243,AGOC-3A,2016-05,Chai,0.541
244,AGOC-3A,2016-05,Kannika,0.03466666666666667
245,AGOC-3A,2016-05,Sakda,0.02
246,AGOC-3A,2016-05,Somchair,0.003
247,AGOC-3A,2016-06,Boonsri,0.23866666666666667
248,AGOC-3A,2016-06,Busarakhan,5.813
249,AGOC-3A,2016-06,Chai,0.18466666666666667
250,AGOC-3A,2016-06,Kannika,0.025000000000000005
251,AGOC-3A,2016-06,Kohsoom,0.02
252,AGOC-3A,2016-06,Sakda,0.054
253,AGOC-3A,2016-06,Somchair,5.396
254,AGOC-3A,2016-07,Boonsri,0.03133333333333333
255,AGOC-3A,2016-07,Busarakhan,0.053
256,AGOC-3A,2016-07,Chai,0.03966666666666666
257,AGOC-3A,2016-07,Kannika,2.386
258,AGOC-3A,2016-07,Kohsoom,0.001
259,AGOC-3A,2016-07,Sakda,1.5849999999999997
260,AGOC-3A,2016-07,Somchair,0.015
261,AGOC-3A,2016-08,Boonsri,0.025333333333333336
262,AGOC-3A,2016-08,Busarakhan,0.11800000000000001
263,AGOC-3A,2016-08,Chai,0.11299999999999999
264,AGOC-3A,2016-08,Kannika,0.04066666666666667
265,AGOC-3A,2016-08,Kohsoom,0.035
266,AGOC-3A,2016-08,Sakda,0.04666666666666667
267,AGOC-3A,2016-08,Somchair,0.154
268,AGOC-3A,2016-09,Boonsri,0.114
269,AGOC-3A,2016-09,Busarakhan,0.018000000000000002
270,AGOC-3A,2016-09,Chai,0.22799999999999998
271,AGOC-3A,2016-09,Kannika,0.04900000000000001
272,AGOC-3A,2016-09,Kohsoom,0.002
273,AGOC-3A,2016-09,Sakda,0.044333333333333336
274,AGOC-3A,2016-09,Somchair,0.068
275,AGOC-3A,2016-10,Boonsri,0.06133333333333333
276,AGOC-3A,2016-10,Busarakhan,0.006
277,AGOC-3A,2016-10,Chai,0.771
278,AGOC-3A,2016-10,Kannika,0.05266666666666666
279,AGOC-3A,2016-10,Kohsoom,0.07400000000000001
280,AGOC-3A,2016-10,Sakda,0.09566666666666668
281,AGOC-3A,2016-10,Somchair,0.016
282,AGOC-3A,2016-11,Boonsri,0.027666666666666673
283,AGOC-3A,2016-11,Busarakhan,0.006
284,AGOC-3A,2016-11,Chai,0.06866666666666667
285,AGOC-3A,2016-11,Kannika,0.028333333333333332
286,AGOC-3A,2016-11,Kohsoom,0.09699999999999999
287,AGOC-3A,2016-11,Sakda,0.019666666666666666
288,AGOC-3A,2016-11,Somchair,0.063
289,AGOC-3A,2016-12,Busarakhan,0.061
290,AGOC-3A,2016-12,Kohsoom,0.044000000000000004
291,AGOC-3A,2016-12,Somchair,0.066
292,AOX,1998-01,Boonsri,0.0
293,AOX,1998-01,Chai,0.0
294,AOX,1998-01,Kannika,0.0
295,AOX,1998-02,Boonsri,0.0
296,AOX,1998-02,Chai,0.0
297,AOX,1998-02,Kannika,0.0
298,AOX,1998-03,Boonsri,0.0
299,AOX,1998-03,Chai,0.0
300,AOX,1998-03,Kannika,0.0
301,AOX,1998-04,Boonsri,0.0
302,AOX,1998-04,Chai,0.0
303,AOX,1998-04,Kannika,0.0
304,AOX,1998-04,Kohsoom,0.0
305,AOX,1998-04,Sakda,0.0
306,AOX,1998-04,Somchair,0.0
307,AOX,1998-05,Boonsri,0.0
308,AOX,1998-05,Chai,0.0
309,AOX,1998-05,Kannika,0.0
310,AOX,1998-06,Boonsri,0.0
311,AOX,1998-06,Chai,0.0
312,AOX,1998-06,Kannika,0.0
313,AOX,1998-06,Kohsoom,0.0
314,AOX,1998-06,Sakda,0.0
315,AOX,1998-06,Somchair,0.0
316,AOX,1998-07,Boonsri,0.0
317,AOX,1998-07,Chai,0.0
318,AOX,1998-07,Kannika,0.0
319,AOX,1998-08,Boonsri,0.0
320,AOX,1998-08,Chai,0.0
321,AOX,1998-08,Kannika,0.0
322,AOX,1998-08,Kohsoom,0.0
323,AOX,1998-08,Sakda,0.0
324,AOX,1998-08,Somchair,0.0
325,AOX,1998-09,Boonsri,0.0
326,AOX,1998-09,Chai,0.0
327,AOX,1998-09,Kannika,0.0
328,AOX,1998-10,Boonsri,0.0
329,AOX,1998-10,Busarakhan,0.0
330,AOX,1998-10,Chai,0.0
331,AOX,1998-10,Kannika,0.0
332,AOX,1998-10,Kohsoom,0.0
333,AOX,1998-10,Sakda,0.0
334,AOX,1998-10,Somchair,0.0
335,AOX,1998-11,Boonsri,0.0
336,AOX,1998-11,Busarakhan,0.0
337,AOX,1998-11,Chai,0.0
338,AOX,1998-11,Kannika,0.0
339,AOX,1998-11,Kohsoom,0.0
340,AOX,1998-11,Sakda,0.0
341,AOX,1998-11,Somchair,0.0
342,AOX,1998-12,Boonsri,0.0
343,AOX,1998-12,Busarakhan,0.0
344,AOX,1998-12,Chai,0.0
345,AOX,1998-12,Kannika,0.0
346,AOX,1998-12,Kohsoom,0.0
347,AOX,1998-12,Sakda,0.0
348,AOX,1998-12,Somchair,0.0
349,AOX,2008-01,Chai,13.333333333333334
350,AOX,2008-01,Kannika,16.133333333333333
351,AOX,2008-01,Sakda,19.433333333333334
352,AOX,2008-02,Busarakhan,29.5
353,AOX,2008-02,Chai,19.866666666666664
354,AOX,2008-02,Sakda,16.03333333333333
355,AOX,2008-02,Somchair,34.8
356,AOX,2008-03,Busarakhan,27.1
357,AOX,2008-03,Chai,12.233333333333334
358,AOX,2008-03,Kannika,20.3
359,AOX,2008-03,Sakda,20.866666666666664
360,AOX,2008-03,Somchair,44.2
361,AOX,2008-05,Busarakhan,21.6
362,AOX,2008-05,Kannika,18.766666666666666
363,AOX,2008-05,Sakda,17.4
364,AOX,2008-05,Somchair,34.4
365,AOX,2008-10,Busarakhan,22.5
366,AOX,2008-10,Chai,12.066666666666668
367,AOX,2008-10,Kannika,18.3
368,AOX,2008-10,Sakda,23.733333333333334
369,AOX,2008-10,Somchair,29.4
370,AOX,2008-11,Busarakhan,21.7
371,AOX,2008-11,Chai,13.4
372,AOX,2008-11,Kannika,19.166666666666668
373,AOX,2008-11,Sakda,23.866666666666664
374,AOX,2008-11,Somchair,31.7
375,AOX,2008-12,Busarakhan,22.45
376,AOX,2008-12,Chai,10.233333333333333
377,AOX,2008-12,Kannika,18.166666666666668
378,AOX,2008-12,Sakda,20.3
379,AOX,2008-12,Somchair,30.1
380,AOX,2009-01,Boonsri,0.0
381,AOX,2009-01,Busarakhan,0.0
382,AOX,2009-01,Chai,0.0
383,AOX,2009-01,Kannika,0.0
384,AOX,2009-01,Kohsoom,0.0
385,AOX,2009-01,Sakda,0.0
386,AOX,2009-01,Somchair,0.0
387,AOX,2009-02,Boonsri,0.0
388,AOX,2009-02,Busarakhan,0.0
389,AOX,2009-02,Chai,0.0
390,AOX,2009-02,Kannika,0.0
391,AOX,2009-02,Kohsoom,0.0
392,AOX,2009-02,Sakda,0.0
393,AOX,2009-02,Somchair,0.0
394,AOX,2009-03,Boonsri,0.0
395,AOX,2009-03,Busarakhan,0.0
396,AOX,2009-03,Chai,0.0
397,AOX,2009-03,Kannika,0.0
398,AOX,2009-03,Kohsoom,0.0
399,AOX,2009-03,Sakda,0.0
400,AOX,2009-03,Somchair,0.0
401,AOX,2009-04,Boonsri,0.0
402,AOX,2009-04,Busarakhan,0.0
403,AOX,2009-04,Chai,0.0
404,AOX,2009-04,Kannika,0.0
405,AOX,2009-04,Kohsoom,0.0
406,AOX,2009-04,Sakda,0.0
407,AOX,2009-04,Somchair,0.0
408,AOX,2009-05,Boonsri,0.0
409,AOX,2009-05,Busarakhan,0.0
410,AOX,2009-05,Chai,0.0
411,AOX,2009-05,Kannika,0.0
412,AOX,2009-05,Kohsoom,0.0
413,AOX,2009-05,Sakda,0.0
414,AOX,2009-05,Somchair,0.0
415,AOX,2009-06,Boonsri,0.0
416,AOX,2009-06,Busarakhan,0.0
417,AOX,2009-06,Chai,0.0
418,AOX,2009-06,Kannika,0.0
419,AOX,2009-06,Kohsoom,0.0
420,AOX,2009-06,Sakda,0.0
421,AOX,2009-06,Somchair,0.0
422,AOX,2009-07,Boonsri,0.0
423,AOX,2009-07,Busarakhan,0.0
424,AOX,2009-07,Chai,0.0
425,AOX,2009-07,Kannika,0.0
426,AOX,2009-07,Kohsoom,0.0
427,AOX,2009-07,Sakda,0.0
428,AOX,2009-07,Somchair,0.0
429,AOX,2009-08,Boonsri,0.0
430,AOX,2009-08,Busarakhan,0.0
431,AOX,2009-08,Chai,0.0
432,AOX,2009-08,Kannika,0.0
433,AOX,2009-08,Kohsoom,0.0
434,AOX,2009-08,Sakda,0.0
435,AOX,2009-08,Somchair,0.0
436,AOX,2009-09,Chai,0.0
437,AOX,2009-09,Kannika,0.0
438,AOX,2009-09,Sakda,0.0
439,AOX,2009-09,Somchair,0.0
440,AOX,2009-10,Busarakhan,0.0
441,AOX,2009-10,Chai,0.0
442,AOX,2009-10,Kannika,0.0
443,AOX,2009-10,Sakda,0.0
444,AOX,2009-10,Somchair,0.0
445,AOX,2009-11,Busarakhan,0.0
446,AOX,2009-11,Chai,0.0
447,AOX,2009-11,Kannika,0.0
448,AOX,2009-11,Sakda,0.0
449,AOX,2009-11,Somchair,0.0
450,AOX,2009-12,Busarakhan,0.0
451,AOX,2009-12,Chai,0.0
452,AOX,2009-12,Kannika,0.0
453,AOX,2009-12,Sakda,0.0
454,AOX,2009-12,Somchair,0.0
455,AOX,2010-01,Boonsri,21.5
456,AOX,2010-01,Kohsoom,53.0
457,AOX,2010-02,Boonsri,17.2
458,AOX,2010-02,Kohsoom,32.0
459,AOX,2010-03,Boonsri,11.166666666666666
460,AOX,2010-03,Kohsoom,42.5
461,AOX,2010-04,Boonsri,18.333333333333332
462,AOX,2010-04,Kohsoom,23.0
463,AOX,2010-05,Boonsri,13.566666666666668
464,AOX,2010-05,Kohsoom,25.0
465,AOX,2010-06,Boonsri,20.333333333333332
466,AOX,2010-06,Kohsoom,30.0
467,AOX,2010-07,Boonsri,16.666666666666668
468,AOX,2010-07,Kohsoom,29.0
469,AOX,2010-08,Boonsri,17.833333333333332
470,AOX,2010-08,Kohsoom,31.5
471,AOX,2010-09,Boonsri,16.099999999999998
472,AOX,2010-09,Kohsoom,30.5
473,AOX,2010-10,Boonsri,17.099999999999998
474,AOX,2010-10,Kohsoom,31.0
475,AOX,2010-11,Boonsri,19.400000000000002
476,AOX,2010-11,Kohsoom,31.2
477,AOX,2010-12,Kohsoom,36.4
478,AOX,2013-01,Boonsri,25.333333333333332
479,AOX,2013-01,Kohsoom,26.0
480,AOX,2013-02,Boonsri,29.0
481,AOX,2013-02,Kohsoom,23.0
482,AOX,2013-03,Boonsri,16.333333333333332
483,AOX,2013-03,Kohsoom,30.0
484,AOX,2013-04,Boonsri,18.666666666666668
485,AOX,2013-04,Kohsoom,53.0
486,AOX,2013-05,Boonsri,44.333333333333336
487,AOX,2013-05,Kohsoom,44.0
488,AOX,2013-06,Boonsri,15.0
489,AOX,2013-06,Kohsoom,26.0
490,AOX,2013-07,Boonsri,21.0
491,AOX,2013-07,Kohsoom,24.0
492,AOX,2013-08,Boonsri,22.666666666666668
493,AOX,2013-08,Kohsoom,31.0
494,AOX,2013-09,Boonsri,22.0
495,AOX,2013-09,Kohsoom,29.0
496,AOX,2013-10,Boonsri,22.333333333333332
497,AOX,2013-10,Kohsoom,32.0
498,AOX,2013-11,Boonsri,24.666666666666668
499,AOX,2013-11,Kohsoom,30.0
500,AOX,2013-12,Boonsri,25.666666666666668
501,AOX,2013-12,Kohsoom,33.0
502,AOX,2016-01,Boonsri,17.7
503,AOX,2016-02,Boonsri,18.133333333333336
504,AOX,2016-02,Kohsoom,28.7
505,AOX,2016-03,Boonsri,13.666666666666666
506,AOX,2016-03,Kohsoom,25.3
507,AOX,2016-04,Boonsri,14.5
508,AOX,2016-04,Kohsoom,26.4
509,AOX,2016-05,Boonsri,15.733333333333333
510,AOX,2016-05,Kohsoom,27.3
511,AOX,2016-06,Boonsri,14.166666666666666
512,AOX,2016-06,Kohsoom,28.6
513,AOX,2016-07,Boonsri,13.266666666666666
514,AOX,2016-07,Kohsoom,29.2
515,AOX,2016-08,Boonsri,14.0
516,AOX,2016-08,Kohsoom,28.6
517,AOX,2016-09,Boonsri,14.466666666666667
518,AOX,2016-09,Kohsoom,26.5
519,AOX,2016-10,Boonsri,14.466666666666667
520,AOX,2016-10,Kohsoom,28.3
521,AOX,2016-11,Boonsri,14.2
522,AOX,2016-11,Kohsoom,27.6
523,AOX,2016-12,Boonsri,12.566666666666668
524,AOX,2016-12,Kohsoom,26.8
525,Acenaphthene,2008-01,Boonsri,0.003
526,Acenaphthene,2008-02,Boonsri,0.0030000000000000005
527,Acenaphthene,2008-02,Kohsoom,0.003
528,Acenaphthene,2008-03,Boonsri,0.0030000000000000005
529,Acenaphthene,2008-03,Kohsoom,0.003
530,Acenaphthene,2008-05,Kohsoom,0.003
531,Acenaphthene,2008-06,Boonsri,0.004299999999999999
532,Acenaphthene,2008-06,Kohsoom,0.003
533,Acenaphthene,2008-07,Boonsri,0.008353333333333334
534,Acenaphthene,2008-07,Kohsoom,0.003
535,Acenaphthene,2008-08,Boonsri,0.0030000000000000005
536,Acenaphthene,2008-09,Boonsri,0.003
537,Acenaphthene,2008-09,Kohsoom,0.003
538,Acenaphthene,2008-10,Boonsri,0.0030000000000000005
539,Acenaphthene,2008-10,Kohsoom,0.003
540,Acenaphthene,2008-11,Boonsri,0.0030000000000000005
541,Acenaphthene,2008-11,Kohsoom,0.003
542,Acenaphthene,2009-01,Boonsri,0.003
543,Acenaphthene,2009-02,Boonsri,0.0030000000000000005
