id,chemical,date,value,year
98,AOX,2008-12,0.4366797044763146,2008
99,AOX,2009-01,0.0,2009
100,AOX,2009-02,0.0,2009
101,AOX,2009-03,0.0,2009
102,AOX,2009-04,0.0,2009
103,AOX,2009-05,0.0,2009
104,AOX,2009-06,0.0,2009
105,AOX,2009-07,0.0,2009
106,AOX,2009-08,0.0,2009
107,AOX,2009-09,0.0,2009
108,AOX,2009-10,0.0,2009
109,AOX,2009-11,0.0,2009
110,AOX,2009-12,0.0,2009
111,AOX,2010-01,0.8418079096045198,2010
112,AOX,2010-02,0.4723163841807909,2010
113,AOX,2010-03,0.4293785310734463,2010
114,AOX,2010-04,0.4406779661016949,2010
115,AOX,2010-05,0.37118644067796613,2010
116,AOX,2010-06,0.5141242937853108,2010
117,AOX,2010-07,0.4463276836158192,2010
118,AOX,2010-08,0.480225988700565,2010
119,AOX,2010-09,0.44519774011299434,2010
120,AOX,2010-10,0.46497175141242936,2010
121,AOX,2010-11,0.5050847457627119,2010
122,AOX,2010-12,0.8225988700564971,2010
123,AOX,2013-01,0.576271186440678,2013
124,AOX,2013-02,0.6214689265536724,2013
125,AOX,2013-03,0.4463276836158192,2013
126,AOX,2013-04,0.615819209039548,2013
127,AOX,2013-05,1.0,2013
128,AOX,2013-06,0.4011299435028249,2013
129,AOX,2013-07,0.4915254237288136,2013
130,AOX,2013-08,0.559322033898305,2013
131,AOX,2013-09,0.536723163841808,2013
132,AOX,2013-10,0.559322033898305,2013
133,AOX,2013-11,0.5875706214689266,2013
134,AOX,2013-12,0.6214689265536724,2013
135,AOX,2016-01,0.39999999999999997,2016
136,AOX,2016-02,0.46949152542372885,2016
137,AOX,2016-03,0.37457627118644066,2016
138,AOX,2016-04,0.3949152542372882,2016
139,AOX,2016-05,0.4209039548022599,2016
140,AOX,2016-06,0.4016949152542373,2016
141,AOX,2016-07,0.3898305084745763,2016
142,AOX,2016-08,0.3988700564971751,2016
143,AOX,2016-09,0.3949152542372882,2016
144,AOX,2016-10,0.40508474576271186,2016
145,AOX,2016-11,0.4723163841807909,2016
146,AOX,2016-12,0.3644067796610169,2016
147,Acenaphthene,2008-01,0.0,2008
148,Acenaphthene,2008-02,0.0,2008
149,Acenaphthene,2008-03,0.0,2008
150,Acenaphthene,2008-05,0.0,2008
151,Acenaphthene,2008-06,0.21248443337484413,2008
152,Acenaphthene,2008-07,1.0,2008
153,Acenaphthene,2008-08,9.451326534742876e-17,2008
154,Acenaphthene,2008-09,0.0,2008
155,Acenaphthene,2008-10,0.0,2008
156,Acenaphthene,2008-11,0.0,2008
157,Acenaphthene,2009-01,0.0,2009
158,Acenaphthene,2009-02,9.451326534742876e-17,2009
159,Acenaphthene,2009-03,0.0,2009
160,Acenaphthene,2009-04,9.451326534742876e-17,2009
161,Acenaphthene,2009-05,0.0,2009
162,Acenaphthene,2009-06,0.0,2009
163,Acenaphthene,2009-07,0.0,2009
164,Acenaphthene,2009-08,0.0,2009
165,Acenaphthene,2009-09,0.0,2009
166,Acenaphthene,2009-10,0.0,2009
167,Acenaphthene,2009-11,0.0,2009
168,Acenaphthene,2009-12,9.451326534742876e-17,2009
169,Acenaphthylene,2008-01,,2008
170,Acenaphthylene,2008-02,,2008
171,Acenaphthylene,2008-03,,2008
172,Acenaphthylene,2008-05,,2008
173,Acenaphthylene,2008-06,,2008
174,Acenaphthylene,2008-07,,2008
175,Acenaphthylene,2008-08,,2008
176,Acenaphthylene,2008-09,,2008
177,Acenaphthylene,2008-10,,2008
178,Acenaphthylene,2008-11,,2008
179,Acenaphthylene,2009-01,,2009
180,Acenaphthylene,2009-02,,2009
181,Acenaphthylene,2009-03,,2009
182,Acenaphthylene,2009-04,,2009
183,Acenaphthylene,2009-05,,2009
184,Acenaphthylene,2009-06,,2009
185,Acenaphthylene,2009-07,,2009
186,Acenaphthylene,2009-08,,2009
187,Acenaphthylene,2009-09,,2009
188,Acenaphthylene,2009-10,,2009
189,Acenaphthylene,2009-11,,2009
190,Acenaphthylene,2009-12,,2009
191,Alachlor,2005-05,0.010017148512158831,2005
192,Alachlor,2005-07,0.0,2005
193,Alachlor,2005-08,0.476101621931965,2005
194,Alachlor,2005-09,0.6982919477536961,2005
195,Alachlor,2006-01,0.27041768336443245,2006
196,Alachlor,2006-02,0.47079087125017954,2006
197,Alachlor,2006-03,0.9994976316922636,2006
198,Alachlor,2006-04,0.5953925649490457,2006
199,Alachlor,2006-05,0.4232811827185304,2006
200,Alachlor,2006-06,1.0,2006
201,Alachlor,2006-07,0.6776230802353953,2006
202,Alachlor,2006-08,0.6167647480981774,2006
203,Alachlor,2006-09,0.6975742787426441,2006
204,Alachlor,2006-10,0.516721687957514,2006
205,Alachlor,2006-11,0.5592076934117987,2006
206,Alachlor,2006-12,0.4132338165638008,2006
207,Alachlor,2007-01,0.24816994402181722,2007
208,Alachlor,2007-02,0.29286637003014215,2007
209,Alachlor,2007-03,0.2873546720252619,2007
210,Alachlor,2007-04,0.34284937260619613,2007
211,Alachlor,2007-05,0.4649777522606573,2007
212,Alachlor,2007-06,0.07279556002105166,2007
213,Alachlor,2007-07,0.10391847280034452,2007
214,Alachlor,2007-08,0.10427730730587058,2007
215,Alachlor,2007-09,0.19336395387780492,2007
216,Alachlor,2007-10,0.20908389550739206,2007
217,Alachlor,2007-11,0.1272187933591695,2007
218,Alachlor,2007-12,0.0717908234055787,2007
219,Alachlor,2009-09,0.0404765322233386,2009
220,Alachlor,2009-10,0.04047653222333861,2009
221,Alachlor,2009-11,0.04047653222333861,2009
222,Aldrin,2005-01,0.0,2005
223,Aldrin,2005-02,0.002207955433268793,2005
224,Aldrin,2005-03,0.0,2005
225,Aldrin,2005-04,0.10541410082834723,2005
226,Aldrin,2005-05,0.0,2005
227,Aldrin,2005-06,0.010249561537595134,2005
228,Aldrin,2005-07,0.14326476539866942,2005
229,Aldrin,2005-08,0.034633358081844784,2005
230,Aldrin,2005-09,0.03595813134180605,2005
231,Aldrin,2005-10,0.386303882604708,2005
232,Aldrin,2005-11,0.06358911647814124,2005
233,Aldrin,2005-12,0.30502904310608375,2005
234,Aldrin,2006-01,0.1311525527361663,2006
235,Aldrin,2006-02,0.3731677098585657,2006
236,Aldrin,2006-03,1.0,2006
237,Aldrin,2006-04,0.6917303576887801,2006
238,Aldrin,2006-05,0.3298685417303577,2006
239,Aldrin,2006-06,0.37010852950168144,2006
240,Aldrin,2006-07,0.32570496862762227,2006
241,Aldrin,2006-08,0.26400838537799715,2006
242,Aldrin,2006-09,0.3058018275077278,2006
243,Aldrin,2006-10,0.21337129318251297,2006
244,Aldrin,2006-11,0.42487370980186623,2006
245,Aldrin,2006-12,0.3128672848941879,2006
246,Aldrin,2007-01,0.42354893654190495,2007
247,Aldrin,2007-02,0.20169672882910425,2007
248,Aldrin,2007-03,0.09538367471721186,2007
249,Aldrin,2007-04,0.058568923071972215,2007
250,Aldrin,2007-05,0.09678637581599439,2007
251,Aldrin,2007-06,0.027599442915859917,2007
252,Aldrin,2007-07,0.04561005080723821,2007
253,Aldrin,2007-08,0.05100377050850913,2007
254,Aldrin,2007-09,0.05343252148510479,2007
255,Aldrin,2007-10,0.031794558239070625,2007
256,Aldrin,2007-11,0.04636706409864466,2007
257,Aldrin,2007-12,0.06204354767485309,2007
258,Aldrin,2008-01,0.09935799449709569,2008
259,Aldrin,2008-02,0.09935799449709569,2008
260,Aldrin,2008-03,0.09935799449709569,2008
261,Aldrin,2008-05,0.09935799449709568,2008
262,Aldrin,2008-06,0.09935799449709569,2008
263,Aldrin,2008-07,0.11247324977071231,2008
264,Aldrin,2008-08,0.09935799449709569,2008
265,Aldrin,2008-09,0.09935799449709569,2008
266,Aldrin,2008-10,0.09935799449709569,2008
267,Aldrin,2008-11,0.09935799449709569,2008
268,Aldrin,2009-01,0.003974319779883827,2009
269,Aldrin,2009-02,0.003974319779883827,2009
270,Aldrin,2009-03,0.003974319779883827,2009
271,Aldrin,2009-04,0.003974319779883827,2009
272,Aldrin,2009-05,0.003974319779883827,2009
273,Aldrin,2009-06,0.003974319779883827,2009
274,Aldrin,2009-07,0.010333231427697953,2009
275,Aldrin,2009-08,0.003974319779883827,2009
276,Aldrin,2009-09,0.04451238153469887,2009
277,Aldrin,2009-10,0.04150956214545331,2009
278,Aldrin,2009-11,0.01748700703148884,2009
279,Aldrin,2009-12,0.003974319779883827,2009
280,Aluminium,2008-05,0.07380898665162625,2008
281,Aluminium,2008-10,0.07844331641285957,2008
282,Aluminium,2009-04,1.0,2009
283,Aluminium,2009-05,0.26345177664974617,2009
284,Aluminium,2009-06,0.28561759729272423,2009
285,Aluminium,2009-07,0.378997461928934,2009
286,Aluminium,2009-08,0.17705160744500847,2009
287,Aluminium,2009-09,0.20846023688663284,2009
288,Aluminium,2009-10,0.2179357021996616,2009
289,Aluminium,2009-11,0.12978003384094755,2009
290,Aluminium,2009-12,0.10490693739424704,2009
291,Aluminium,2010-01,0.1373942470389171,2010
292,Aluminium,2014-06,0.0,2014
293,Ammonium,1998-01,0.17755580549235214,1998
294,Ammonium,1998-02,0.16304984161274103,1998
295,Ammonium,1998-03,0.3748369142550631,1998
296,Ammonium,1998-04,1.0,1998
297,Ammonium,1998-05,0.14358767340759615,1998
298,Ammonium,1998-06,0.18089657293129285,1998
299,Ammonium,1998-07,0.2637454075437081,1998
300,Ammonium,1998-08,0.2055127540603299,1998
301,Ammonium,1998-09,0.0801240814342975,1998
302,Ammonium,1998-10,0.1790064018803132,1998
303,Ammonium,1998-11,0.15192860263837255,1998
304,Ammonium,1998-12,0.15434626328497433,1998
305,Ammonium,1999-01,0.4396946905345689,1999
306,Ammonium,1999-02,0.566509050317658,1999
307,Ammonium,1999-03,0.30611088094099453,1999
308,Ammonium,1999-04,0.1174688795554741,1999
309,Ammonium,1999-05,0.27993567500711847,1999
310,Ammonium,1999-06,0.08091385057885411,1999
311,Ammonium,1999-07,0.22397488990710768,1999
312,Ammonium,1999-08,0.18239112678555583,1999
313,Ammonium,1999-09,0.3114942053140947,1999
314,Ammonium,1999-10,0.16256630948342068,1999
315,Ammonium,1999-11,0.782454499272135,1999
316,Ammonium,1999-12,0.3845075568414705,1999
317,Ammonium,2000-01,0.825005326652328,2000
318,Ammonium,2000-02,0.6612813476644503,2000
319,Ammonium,2000-03,0.5480058875023317,2000
320,Ammonium,2000-04,0.24518583264662788,2000
321,Ammonium,2000-05,0.6694046874370329,2000
322,Ammonium,2000-06,0.05067697475868699,2000
323,Ammonium,2000-07,0.44375636042086014,2000
324,Ammonium,2000-08,0.1504135352998353,2000
325,Ammonium,2000-09,0.43563302064827775,2000
326,Ammonium,2000-10,0.1707218847312909,2000
327,Ammonium,2000-11,0.2632376988079217,2000
328,Ammonium,2000-12,0.24699101926275724,2000
329,Ammonium,2001-01,0.3476301731119703,2001
330,Ammonium,2001-02,0.287156421471636,2001
331,Ammonium,2001-03,0.18696856427645533,2001
332,Ammonium,2001-04,0.19554320070306996,2001
333,Ammonium,2001-05,0.20276394716758744,2001
334,Ammonium,2001-06,0.23029304306356058,2001
335,Ammonium,2001-07,0.20908210032404023,2001
336,Ammonium,2001-08,0.09986831004821263,2001
337,Ammonium,2001-09,0.20456913378371677,2001
338,Ammonium,2001-10,0.37628751064302424,2001
339,Ammonium,2001-11,0.24366783481033727,2001
340,Ammonium,2001-12,0.3343169218180161,2001
341,Ammonium,2002-01,0.14424581436139325,2002
342,Ammonium,2002-02,0.2679763136752613,2002
343,Ammonium,2002-03,0.26496766931504573,2002
344,Ammonium,2002-04,0.2560169523434042,2002
345,Ammonium,2002-05,0.32035896101830147,2002
346,Ammonium,2002-06,0.18496996480859773,2002
347,Ammonium,2002-07,0.2620127507469768,2002
348,Ammonium,2002-08,0.25878920321817434,2002
349,Ammonium,2002-09,0.18505055349681784,2002
350,Ammonium,2002-10,0.4303405417055349,2002
351,Ammonium,2002-11,0.26078377325162083,2002
352,Ammonium,2002-12,0.2723281028391447,2002
353,Ammonium,2003-01,0.24105779560533203,2003
354,Ammonium,2003-02,0.1833581910441966,2003
355,Ammonium,2003-03,0.12378703271192695,2003
356,Ammonium,2003-04,0.178748518078009,2003
357,Ammonium,2003-05,0.337959530525563,2003
358,Ammonium,2003-06,0.3220674412085668,2003
359,Ammonium,2003-07,0.4351817239942455,2003
360,Ammonium,2003-08,0.4622595232361861,2003
361,Ammonium,2003-09,0.21359506686436366,2003
362,Ammonium,2003-10,0.3099791379755575,2003
363,Ammonium,2003-11,0.22990621736010422,2003
364,Ammonium,2003-12,0.40858745688162507,2003
365,Ammonium,2004-01,0.580894131164939,2004
366,Ammonium,2004-02,0.4558285459162251,2004
367,Ammonium,2004-03,0.1928354207788758,2004
368,Ammonium,2004-04,0.10783047244435472,2004
369,Ammonium,2004-05,0.1916749436685069,2004
370,Ammonium,2004-06,0.14938200009061856,2004
371,Ammonium,2004-07,0.1999272253422412,2004
372,Ammonium,2004-08,0.12755858332062583,2004
373,Ammonium,2004-09,0.07949548966618103,2004
374,Ammonium,2004-10,0.10186153693685553,2004
375,Ammonium,2004-11,0.509848755403897,2004
376,Ammonium,2004-12,0.16808461990928938,2004
377,Ammonium,2005-01,0.3503379530361644,2005
378,Ammonium,2005-02,0.30846407063702036,2005
379,Ammonium,2005-03,0.3380884724267151,2005
380,Ammonium,2005-04,0.27622859534899563,2005
381,Ammonium,2005-05,0.29702047690977157,2005
382,Ammonium,2005-06,0.26633230443557204,2005
383,Ammonium,2005-07,0.2595950901003749,2005
384,Ammonium,2005-08,0.2354829545849325,2005
385,Ammonium,2005-09,0.1587302879241457,2005
386,Ammonium,2005-10,0.13761605161048948,2005
387,Ammonium,2005-11,0.12684940286428928,2005
388,Ammonium,2005-12,0.17346190013077298,2005
389,Ammonium,2006-01,0.1532083510073071,2006
390,Ammonium,2006-02,0.4262202618641746,2006
391,Ammonium,2006-03,0.32316344736835956,2006
392,Ammonium,2006-04,0.13123342750346062,2006
393,Ammonium,2006-05,0.21781791412709497,2006
394,Ammonium,2006-06,0.30569181976225024,2006
395,Ammonium,2006-07,0.24025541670132455,2006
396,Ammonium,2006-08,0.31549140424980976,2006
397,Ammonium,2006-09,0.3776736360804093,2006
398,Ammonium,2006-10,0.5795491483736452,2006
399,Ammonium,2006-11,0.23757826047865402,2006
400,Ammonium,2006-12,0.30233933033229565,2006
401,Ammonium,2007-01,0.15689286583272832,2007
402,Ammonium,2007-02,0.21277323190491534,2007
403,Ammonium,2007-03,0.19093997483193995,2007
404,Ammonium,2007-04,0.26347284811712807,2007
405,Ammonium,2007-05,0.19467284287029318,2007
406,Ammonium,2007-06,0.2197198071690884,2007
407,Ammonium,2007-07,0.2673638396447889,2007
408,Ammonium,2007-08,0.15578396548282025,2007
409,Ammonium,2007-09,0.12957867310534207,2007
410,Ammonium,2007-10,0.5210268094034606,2007
411,Ammonium,2007-11,0.33880613590286424,2007
412,Ammonium,2007-12,0.2984764458769473,2007
413,Ammonium,2008-01,0.4162756177378189,2008
414,Ammonium,2008-02,0.2794420692917705,2008
415,Ammonium,2008-03,0.2927600215925377,2008
416,Ammonium,2008-04,0.18260602995414263,2008
417,Ammonium,2008-05,0.17807802019201815,2008
418,Ammonium,2008-06,0.2736497573259537,2008
419,Ammonium,2008-07,0.27448787968344235,2008
420,Ammonium,2008-08,0.2796097385347618,2008
421,Ammonium,2008-09,0.16064360990737764,2008
422,Ammonium,2008-10,0.25687943039333266,2008
423,Ammonium,2008-11,0.20764117457866552,2008
424,Ammonium,2008-12,0.23005943067794377,2008
425,Ammonium,2009-01,0.2789643615267352,2009
426,Ammonium,2009-02,0.3002440244385741,2009
427,Ammonium,2009-03,0.24690640114012624,2009
428,Ammonium,2009-04,0.11352003383269108,2009
429,Ammonium,2009-05,0.18973275628240346,2009
430,Ammonium,2009-06,0.20784103452545133,2009
431,Ammonium,2009-07,0.33741958631448854,2009
432,Ammonium,2009-08,0.21552919538164517,2009
433,Ammonium,2009-09,0.24560769691017995,2009
434,Ammonium,2009-10,0.23785226201860232,2009
435,Ammonium,2009-11,0.09490404685385685,2009
436,Ammonium,2009-12,0.12062795613370055,2009
437,Ammonium,2010-01,0.5651890076046133,2010
438,Ammonium,2010-02,0.30811350984326297,2010
439,Ammonium,2010-03,0.3224703846496671,2010
440,Ammonium,2010-04,0.1783939278498408,2010
441,Ammonium,2010-05,0.1563981213641773,2010
442,Ammonium,2010-06,0.25273033540642953,2010
443,Ammonium,2010-07,0.12911797443768405,2010
444,Ammonium,2010-08,0.19586695699835396,2010
445,Ammonium,2010-09,0.20546467558156228,2010
446,Ammonium,2010-10,0.12814204542333907,2010
447,Ammonium,2010-11,0.17698180606141697,2010
448,Ammonium,2010-12,0.1564671352453037,2010
449,Ammonium,2011-01,0.22324378932757533,2011
450,Ammonium,2011-02,0.16834868680922424,2011
451,Ammonium,2011-03,0.2132189863193367,2011
452,Ammonium,2011-04,0.10409676348055921,2011
453,Ammonium,2011-05,0.12866103657547623,2011
454,Ammonium,2011-06,0.15191526382101198,2011
455,Ammonium,2011-07,0.09193301054814389,2011
456,Ammonium,2011-08,0.09593273775643056,2011
457,Ammonium,2011-09,0.09388372398387063,2011
458,Ammonium,2011-10,0.10342452768198755,2011
459,Ammonium,2011-11,0.10026865385420908,2011
460,Ammonium,2011-12,0.17767668852468224,2011
461,Ammonium,2012-01,0.2319699664201228,2012
462,Ammonium,2012-02,0.23579134063185453,2012
463,Ammonium,2012-03,0.34024539767127565,2012
464,Ammonium,2012-04,0.13652172169541169,2012
465,Ammonium,2012-05,0.12826239119774768,2012
466,Ammonium,2012-06,0.14646112670873096,2012
467,Ammonium,2012-07,0.10027836752523855,2012
468,Ammonium,2012-08,0.07069065402192141,2012
469,Ammonium,2012-09,0.03358151035266939,2012
470,Ammonium,2012-10,0.08855788218094682,2012
471,Ammonium,2012-11,0.12068662469872472,2012
472,Ammonium,2012-12,0.09127544817980061,2012
473,Ammonium,2013-01,0.10517104573309269,2013
474,Ammonium,2013-02,0.09887025014025651,2013
475,Ammonium,2013-03,0.05327193051937295,2013
476,Ammonium,2013-04,0.06650620489887148,2013
477,Ammonium,2013-05,0.04622847916893957,2013
478,Ammonium,2013-06,0.08121760794214514,2013
479,Ammonium,2013-07,0.06862447856873581,2013
480,Ammonium,2013-08,0.07439825513626215,2013
481,Ammonium,2013-09,0.10974042435517019,2013
482,Ammonium,2013-10,0.23928674066891936,2013
483,Ammonium,2013-11,0.2220343142947686,2013
484,Ammonium,2013-12,0.3730195003896866,2013
485,Ammonium,2014-01,0.7277897204329434,2014
486,Ammonium,2014-02,0.25192304698182516,2014
487,Ammonium,2014-03,0.13939205046899447,2014
488,Ammonium,2014-04,0.06710590872182601,2014
489,Ammonium,2014-05,0.07432341510780179,2014
490,Ammonium,2014-06,0.17510046515685804,2014
491,Ammonium,2014-07,0.189608453486608,2014
492,Ammonium,2014-08,0.15468999418740498,2014
493,Ammonium,2014-09,0.500418115412031,2014
494,Ammonium,2014-10,0.5892749434596233,2014
495,Ammonium,2014-11,0.41357217653435274,2014
496,Ammonium,2014-12,0.4058318072766282,2014
497,Ammonium,2015-01,0.3398678706626139,2015
498,Ammonium,2015-02,0.30894502392831774,2015
499,Ammonium,2015-03,0.10120966399214207,2015
500,Ammonium,2015-04,0.09710186155899432,2015
501,Ammonium,2015-05,0.08402278308441027,2015
502,Ammonium,2015-06,0.12250835885883524,2015
503,Ammonium,2015-07,0.05683475642558192,2015
504,Ammonium,2015-08,0.10782754194660128,2015
505,Ammonium,2015-09,0.06824234312693395,2015
506,Ammonium,2015-10,0.027215995844062587,2015
507,Ammonium,2015-11,0.027494884698006105,2015
508,Ammonium,2015-12,0.13426714390001143,2015
509,Ammonium,2016-01,0.08769740340977782,2016
510,Ammonium,2016-02,0.24741410987591267,2016
511,Ammonium,2016-03,0.05763596916386573,2016
512,Ammonium,2016-04,0.011855533985516534,2016
513,Ammonium,2016-05,0.04160049645278843,2016
514,Ammonium,2016-06,0.09021056165192048,2016
515,Ammonium,2016-07,0.06872884091998077,2016
516,Ammonium,2016-08,0.0,2016
517,Ammonium,2016-09,0.01778167958586054,2016
518,Ammonium,2016-10,0.0005830461610966259,2016
519,Ammonium,2016-11,0.07292786196184693,2016
520,Ammonium,2016-12,0.04902522900492857,2016
521,Anionic active surfactants,1999-01,0.17344173441734415,1999
522,Anionic active surfactants,1999-02,0.21483123922148306,1999
523,Anionic active surfactants,1999-03,0.03350578960335058,1999
524,Anionic active surfactants,1999-05,0.16260162601626016,1999
525,Anionic active surfactants,1999-07,0.17344173441734415,1999
526,Anionic active surfactants,2000-01,0.22609368950832365,2000
527,Anionic active surfactants,2000-02,0.19512195121951223,2000
528,Anionic active surfactants,2000-03,0.16621499548328816,2000
529,Anionic active surfactants,2000-04,0.20379403794037945,2000
530,Anionic active surfactants,2000-05,0.17633242999096654,2000
531,Anionic active surfactants,2000-06,0.25004516711833785,2000
532,Anionic active surfactants,2000-07,0.18644986449864498,2000
533,Anionic active surfactants,2000-08,0.17344173441734415,2000
534,Anionic active surfactants,2000-09,0.16187895212285455,2000
535,Anionic active surfactants,2000-10,0.18500451671183377,2000
536,Anionic active surfactants,2000-11,0.16043360433604334,2000
537,Anionic active surfactants,2000-12,0.16187895212285452,2000
538,Anionic active surfactants,2001-01,0.14308943089430892,2001
539,Anionic active surfactants,2001-02,0.19150858175248417,2001
540,Anionic active surfactants,2001-03,0.08238482384823849,2001
541,Anionic active surfactants,2001-04,0.13586269196025288,2001
542,Anionic active surfactants,2001-05,0.24137308039747063,2001
543,Anionic active surfactants,2001-06,0.1633242999096657,2001
544,Anionic active surfactants,2001-07,0.19656729900632336,2001
545,Anionic active surfactants,2001-08,0.20131629887727448,2001
546,Anionic active surfactants,2001-09,0.32520325203252026,2001
547,Anionic active surfactants,2001-11,1.0,2001
548,Anionic active surfactants,2001-12,0.06744956338452274,2001
549,Anionic active surfactants,2002-09,0.15176151761517614,2002
550,Anionic active surfactants,2002-10,0.1788617886178862,2002
551,Anionic active surfactants,2003-01,0.09152148664343784,2003
552,Anionic active surfactants,2003-02,0.07848238482384826,2003
553,Anionic active surfactants,2003-03,0.07287888263498019,2003
554,Anionic active surfactants,2003-04,0.06968641114982578,2003
555,Anionic active surfactants,2003-05,0.062149954832881646,2003
556,Anionic active surfactants,2003-06,0.06359530261969286,2003
557,Anionic active surfactants,2003-07,0.05564588979223126,2003
558,Anionic active surfactants,2003-10,0.15754290876242094,2003
559,Anionic active surfactants,2003-11,0.062149954832881646,2003
560,Anionic active surfactants,2003-12,0.15555555555555553,2003
