id,chemical,date,misurations
513,Ammonium,2016-05,25
514,Ammonium,2016-06,25
515,Ammonium,2016-07,36
516,Ammonium,2016-08,31
517,Ammonium,2016-09,32
518,Ammonium,2016-10,25
519,Ammonium,2016-11,23
520,Ammonium,2016-12,25
521,Anionic active surfactants,1999-01,11
522,Anionic active surfactants,1999-02,11
523,Anionic active surfactants,1999-03,11
524,Anionic active surfactants,1999-05,2
525,Anionic active surfactants,1999-07,1
526,Anionic active surfactants,2000-01,14
527,Anionic active surfactants,2000-02,15
528,Anionic active surfactants,2000-03,15
529,Anionic active surfactants,2000-04,15
530,Anionic active surfactants,2000-05,15
531,Anionic active surfactants,2000-06,15
532,Anionic active surfactants,2000-07,15
533,Anionic active surfactants,2000-08,15
534,Anionic active surfactants,2000-09,15
535,Anionic active surfactants,2000-10,15
536,Anionic active surfactants,2000-11,15
537,Anionic active surfactants,2000-12,15
538,Anionic active surfactants,2001-01,15
539,Anionic active surfactants,2001-02,12
540,Anionic active surfactants,2001-03,15
541,Anionic active surfactants,2001-04,15
542,Anionic active surfactants,2001-05,15
543,Anionic active surfactants,2001-06,15
544,Anionic active surfactants,2001-07,15
545,Anionic active surfactants,2001-08,14
546,Anionic active surfactants,2001-09,12
547,Anionic active surfactants,2001-11,8
548,Anionic active surfactants,2001-12,9
549,Anionic active surfactants,2002-09,3
550,Anionic active surfactants,2002-10,12
551,Anionic active surfactants,2003-01,14
552,Anionic active surfactants,2003-02,15
553,Anionic active surfactants,2003-03,13
554,Anionic active surfactants,2003-04,7
555,Anionic active surfactants,2003-05,3
556,Anionic active surfactants,2003-06,3
557,Anionic active surfactants,2003-07,3
558,Anionic active surfactants,2003-10,3
559,Anionic active surfactants,2003-11,3
560,Anionic active surfactants,2003-12,6
561,Anionic active surfactants,2004-01,4
562,Anionic active surfactants,2004-02,3
563,Anionic active surfactants,2004-03,6
564,Anionic active surfactants,2004-04,6
565,Anionic active surfactants,2004-05,3
566,Anionic active surfactants,2004-06,3
567,Anionic active surfactants,2004-07,3
568,Anionic active surfactants,2004-08,3
569,Anionic active surfactants,2004-09,7
570,Anionic active surfactants,2004-10,7
571,Anionic active surfactants,2004-11,10
572,Anionic active surfactants,2004-12,1
573,Anionic active surfactants,2005-01,7
574,Anionic active surfactants,2005-02,13
575,Anionic active surfactants,2005-03,7
576,Anionic active surfactants,2005-04,7
577,Anionic active surfactants,2005-05,7
578,Anionic active surfactants,2005-06,7
579,Anionic active surfactants,2005-07,7
580,Anionic active surfactants,2005-08,13
581,Anionic active surfactants,2005-09,10
582,Anionic active surfactants,2005-10,18
583,Anionic active surfactants,2005-11,18
584,Anionic active surfactants,2005-12,18
585,Anionic active surfactants,2006-01,17
586,Anionic active surfactants,2006-02,18
587,Anionic active surfactants,2006-03,14
588,Anionic active surfactants,2006-04,18
589,Anionic active surfactants,2006-05,18
590,Anionic active surfactants,2006-06,18
591,Anionic active surfactants,2006-07,17
592,Anionic active surfactants,2006-08,18
593,Anionic active surfactants,2006-09,6
594,Anionic active surfactants,2006-10,5
595,Anionic active surfactants,2006-11,7
596,Anionic active surfactants,2006-12,6
597,Anionic active surfactants,2007-01,18
598,Anionic active surfactants,2007-02,16
599,Anionic active surfactants,2007-03,18
600,Anionic active surfactants,2007-04,16
601,Anionic active surfactants,2007-05,18
602,Anionic active surfactants,2007-06,16
603,Anionic active surfactants,2007-07,6
604,Anionic active surfactants,2007-08,13
605,Anionic active surfactants,2007-09,15
606,Anionic active surfactants,2007-10,13
607,Anionic active surfactants,2007-11,13
608,Anionic active surfactants,2007-12,15
609,Anionic active surfactants,2008-01,14
610,Anionic active surfactants,2008-02,16
611,Anionic active surfactants,2008-03,15
612,Anionic active surfactants,2008-04,9
613,Anionic active surfactants,2008-05,17
614,Anionic active surfactants,2008-06,15
615,Anionic active surfactants,2008-07,18
616,Anionic active surfactants,2008-08,24
617,Anionic active surfactants,2008-09,19
618,Anionic active surfactants,2008-10,24
619,Anionic active surfactants,2008-11,18
620,Anionic active surfactants,2008-12,14
621,Anionic active surfactants,2009-01,19
622,Anionic active surfactants,2009-02,20
623,Anionic active surfactants,2009-03,20
624,Anionic active surfactants,2009-04,21
625,Anionic active surfactants,2009-05,14
626,Anionic active surfactants,2009-06,19
627,Anionic active surfactants,2009-07,21
628,Anionic active surfactants,2009-08,15
629,Anionic active surfactants,2009-09,19
630,Anionic active surfactants,2009-10,14
631,Anionic active surfactants,2009-11,15
632,Anionic active surfactants,2009-12,14
633,Anionic active surfactants,2010-01,16
634,Anionic active surfactants,2010-02,16
635,Anionic active surfactants,2010-03,15
636,Anionic active surfactants,2010-04,15
637,Anionic active surfactants,2010-05,14
638,Anionic active surfactants,2010-06,14
639,Anionic active surfactants,2010-07,15
640,Anionic active surfactants,2010-08,15
641,Anionic active surfactants,2010-09,17
642,Anionic active surfactants,2010-10,6
643,Anionic active surfactants,2010-11,6
644,Anionic active surfactants,2010-12,4
645,Anionic active surfactants,2011-01,16
646,Anionic active surfactants,2011-02,16
647,Anionic active surfactants,2011-03,7
648,Anionic active surfactants,2011-04,13
649,Anionic active surfactants,2011-05,9
650,Anionic active surfactants,2011-06,15
651,Anionic active surfactants,2011-07,6
652,Anionic active surfactants,2011-08,5
653,Anionic active surfactants,2011-09,6
654,Anionic active surfactants,2011-10,2
655,Anionic active surfactants,2011-11,6
656,Anionic active surfactants,2011-12,5
657,Anionic active surfactants,2012-01,10
658,Anionic active surfactants,2012-02,7
659,Anionic active surfactants,2012-03,6
660,Anionic active surfactants,2012-04,5
661,Anionic active surfactants,2012-05,9
662,Anionic active surfactants,2012-06,8
663,Anionic active surfactants,2012-07,9
664,Anionic active surfactants,2012-08,2
665,Anionic active surfactants,2012-09,2
666,Anionic active surfactants,2012-10,2
667,Anionic active surfactants,2012-11,3
668,Anionic active surfactants,2012-12,2
669,Anionic active surfactants,2013-01,15
670,Anionic active surfactants,2013-02,6
671,Anionic active surfactants,2013-03,5
672,Anionic active surfactants,2013-04,6
673,Anionic active surfactants,2013-05,16
674,Anionic active surfactants,2013-06,16
675,Anionic active surfactants,2013-07,17
676,Anionic active surfactants,2013-08,15
677,Anionic active surfactants,2013-09,17
678,Anionic active surfactants,2013-10,15
679,Anionic active surfactants,2013-11,16
680,Anionic active surfactants,2013-12,7
681,Anionic active surfactants,2014-01,15
682,Anionic active surfactants,2014-02,4
683,Anionic active surfactants,2014-03,15
684,Anionic active surfactants,2014-04,18
685,Anionic active surfactants,2014-05,7
686,Anionic active surfactants,2014-06,11
687,Anionic active surfactants,2014-07,7
688,Anionic active surfactants,2014-08,7
689,Anionic active surfactants,2014-09,9
690,Anionic active surfactants,2014-10,12
691,Anionic active surfactants,2014-11,10
692,Anionic active surfactants,2014-12,7
693,Anionic active surfactants,2015-01,15
694,Anionic active surfactants,2015-02,9
695,Anionic active surfactants,2015-03,15
696,Anionic active surfactants,2015-04,3
697,Anionic active surfactants,2015-05,5
698,Anionic active surfactants,2015-06,5
699,Anionic active surfactants,2015-07,5
700,Anionic active surfactants,2015-08,5
701,Anionic active surfactants,2015-09,15
702,Anionic active surfactants,2015-10,5
703,Anionic active surfactants,2015-11,9
704,Anionic active surfactants,2015-12,5
705,Anionic active surfactants,2016-01,10
706,Anionic active surfactants,2016-02,16
707,Anionic active surfactants,2016-03,9
708,Anionic active surfactants,2016-04,15
709,Anionic active surfactants,2016-05,12
710,Anionic active surfactants,2016-06,10
711,Anionic active surfactants,2016-07,16
712,Anionic active surfactants,2016-08,10
713,Anionic active surfactants,2016-09,8
714,Anionic active surfactants,2016-10,18
715,Anionic active surfactants,2016-11,7
716,Anionic active surfactants,2016-12,10
717,Anthracene,2008-01,1
718,Anthracene,2008-02,4
719,Anthracene,2008-03,4
720,Anthracene,2008-05,1
721,Anthracene,2008-06,4
722,Anthracene,2008-07,7
723,Anthracene,2008-08,3
724,Anthracene,2008-09,2
725,Anthracene,2008-10,4
726,Anthracene,2008-11,4
727,Anthracene,2009-01,1
728,Anthracene,2009-02,3
729,Anthracene,2009-03,4
730,Anthracene,2009-04,3
731,Anthracene,2009-05,4
732,Anthracene,2009-06,4
733,Anthracene,2009-07,5
734,Anthracene,2009-08,4
735,Anthracene,2009-09,10
736,Anthracene,2009-10,10
737,Anthracene,2009-11,5
738,Anthracene,2009-12,3
739,Arsenic,1998-01,7
740,Arsenic,1998-02,7
741,Arsenic,1998-03,7
742,Arsenic,1998-04,11
743,Arsenic,1998-05,8
744,Arsenic,1998-06,11
745,Arsenic,1998-07,8
746,Arsenic,1998-08,11
747,Arsenic,1998-09,8
748,Arsenic,1998-10,14
749,Arsenic,1998-11,14
750,Arsenic,1998-12,14
751,Arsenic,2004-03,5
752,Arsenic,2008-01,9
753,Arsenic,2008-02,8
754,Arsenic,2008-04,9
755,Arsenic,2008-05,5
756,Arsenic,2008-06,5
757,Arsenic,2008-07,7
758,Arsenic,2008-09,11
759,Arsenic,2008-10,11
760,Arsenic,2008-11,11
761,Arsenic,2008-12,10
762,Arsenic,2009-01,2
763,Arsenic,2009-02,2
764,Arsenic,2009-03,2
765,Arsenic,2009-04,12
766,Arsenic,2009-05,11
767,Arsenic,2009-06,12
768,Arsenic,2009-07,9
769,Arsenic,2009-08,11
770,Arsenic,2009-09,10
771,Arsenic,2009-10,12
772,Arsenic,2009-11,12
773,Arsenic,2009-12,11
774,Arsenic,2010-01,13
775,Arsenic,2010-02,13
776,Arsenic,2010-03,13
777,Arsenic,2010-04,16
778,Arsenic,2010-05,16
779,Arsenic,2010-06,16
780,Arsenic,2010-07,13
781,Arsenic,2010-08,13
782,Arsenic,2010-09,13
783,Arsenic,2010-10,13
784,Arsenic,2010-11,13
785,Arsenic,2010-12,13
786,Arsenic,2011-01,13
787,Arsenic,2011-02,17
788,Arsenic,2011-03,14
789,Arsenic,2011-04,15
790,Arsenic,2011-05,15
791,Arsenic,2011-06,15
792,Arsenic,2011-07,11
793,Arsenic,2011-08,15
794,Arsenic,2011-09,14
795,Arsenic,2011-10,6
796,Arsenic,2011-11,11
797,Arsenic,2011-12,9
798,Arsenic,2012-01,12
799,Arsenic,2012-02,18
800,Arsenic,2012-03,5
801,Arsenic,2012-04,5
802,Arsenic,2012-05,5
803,Arsenic,2012-06,8
804,Arsenic,2012-07,5
805,Arsenic,2012-08,5
806,Arsenic,2012-09,4
807,Arsenic,2012-10,5
808,Arsenic,2012-11,5
809,Arsenic,2012-12,3
810,Arsenic,2013-01,5
811,Arsenic,2013-02,5
812,Arsenic,2013-03,5
813,Arsenic,2013-04,5
814,Arsenic,2013-05,5
815,Arsenic,2013-06,5
816,Arsenic,2013-07,5
817,Arsenic,2013-08,5
818,Arsenic,2013-09,5
819,Arsenic,2013-10,8
820,Arsenic,2013-11,5
821,Arsenic,2013-12,5
822,Arsenic,2014-01,7
823,Arsenic,2014-02,4
824,Arsenic,2014-03,2
825,Arsenic,2014-04,4
826,Arsenic,2014-05,2
827,Arsenic,2014-06,8
828,Arsenic,2014-07,7
829,Arsenic,2014-08,8
830,Arsenic,2014-09,22
831,Arsenic,2014-10,16
832,Arsenic,2014-11,16
833,Arsenic,2014-12,13
834,Arsenic,2015-01,7
835,Arsenic,2015-02,8
836,Arsenic,2015-03,7
837,Arsenic,2015-04,7
838,Arsenic,2015-05,2
839,Arsenic,2015-06,1
840,Arsenic,2015-07,1
841,Arsenic,2015-08,2
842,Arsenic,2015-09,2
843,Arsenic,2015-11,1
